full_name,family,quarter,params,access,org,total_params_b,active_params_b,weights_gb_bf16,gpus_80gb_bf16,weights_gb_fp8,gpus_80gb_fp8,gpus_141gb_fp8,gpu_class,est_minutes_single_gpu
Llama-1,Llama,2023Q1,7B,gated,meta-llama,7.0,7.0,14.0,1,7.0,1,1,1x80GB,9.938615555555554
Llama-2,Llama,2023Q3,70B,gated,meta-llama,70.0,70.0,140.0,2,70.0,1,1,2x80GB,99.38615555555556
Llama-3,Llama,2024Q2,70B,gated,meta-llama,70.0,70.0,140.0,2,70.0,1,1,2x80GB,99.38615555555556
Llama-3.1,Llama,2024Q3,70B,gated,meta-llama,70.0,70.0,140.0,2,70.0,1,1,2x80GB,99.38615555555556
Llama-3.2,Llama,2024Q3,90B,gated,meta-llama,90.0,90.0,180.0,3,90.0,2,1,4x80GB,127.7822
Llama-3.3,Llama,2024Q4,70B,gated,meta-llama,70.0,70.0,140.0,2,70.0,1,1,2x80GB,99.38615555555556
Llama-4,Llama,2025Q2,17B/128E,gated,meta-llama,400.0,17.0,800.0,11,400.0,6,4,8x80GB (fp8),24.13663777777778
Qwen-7B,Qwen,2023Q3,7B,public,Qwen,7.0,7.0,14.0,1,7.0,1,1,1x80GB,9.938615555555554
Qwen1.5,Qwen,2024Q1,72B,public,Qwen,72.0,72.0,144.0,2,72.0,1,1,2x80GB,102.22576000000001
Qwen2,Qwen,2024Q2,72B,public,Qwen,72.0,72.0,144.0,2,72.0,1,1,2x80GB,102.22576000000001
Qwen2.5,Qwen,2024Q3,72B,public,Qwen,72.0,72.0,144.0,2,72.0,1,1,2x80GB,102.22576000000001
Qwen3,Qwen,2025Q2,30B/3B,gated,Qwen,30.0,3.0,60.0,1,30.0,1,1,1x80GB,4.259406666666667
Qwen3.5,Qwen,2026Q1,32B,gated,Qwen,32.0,32.0,64.0,1,32.0,1,1,1x80GB,45.43367111111112
Qwen3.6,Qwen,2026Q2,32B,gated,Qwen,32.0,32.0,64.0,1,32.0,1,1,1x80GB,45.43367111111112
DeepSeek-V3,DeepSeek,2024Q4,671B/37B,public,deepseek-ai,671.0,37.0,1342.0,19,671.0,10,6,8xH200-141GB (fp8),52.53268222222222
DeepSeek-R1,DeepSeek,2025Q1,671B/37B,public,deepseek-ai,671.0,37.0,1342.0,19,671.0,10,6,8xH200-141GB (fp8),52.53268222222222
DeepSeek-V3.1,DeepSeek,2025Q3,671B/37B,public,deepseek-ai,671.0,37.0,1342.0,19,671.0,10,6,8xH200-141GB (fp8),52.53268222222222
DeepSeek-V3.2,DeepSeek,2025Q4,685B/37B,public,deepseek-ai,685.0,37.0,1370.0,19,685.0,10,6,8xH200-141GB (fp8),52.53268222222222
DeepSeek-V4,DeepSeek,2026Q2,~700B,gated,deepseek-ai,700.0,37.0,1400.0,19,700.0,10,6,8xH200-141GB (fp8),52.53268222222222
Mistral-7B,Mistral,2023Q3,7B,public,mistralai,7.0,7.0,14.0,1,7.0,1,1,1x80GB,9.938615555555554
Mixtral-8x7B,Mistral,2023Q4,46B/13B,public,mistralai,46.0,13.0,92.0,2,46.0,1,1,2x80GB,18.457428888888888
Mixtral-8x22B,Mistral,2024Q2,141B/39B,public,mistralai,141.0,39.0,282.0,4,141.0,2,2,4x80GB,55.37228666666667
Mistral-Large-2,Mistral,2024Q3,123B,gated,mistralai,123.0,123.0,246.0,4,123.0,2,1,4x80GB,174.63567333333333
Mistral-Small-2,Mistral,2024Q3,24B,public,mistralai,24.0,24.0,48.0,1,24.0,1,1,1x80GB,34.075253333333336
Mistral-Small-3,Mistral,2025Q1,24B,gated,mistralai,24.0,24.0,48.0,1,24.0,1,1,1x80GB,34.075253333333336
Mistral-Small-3.1,Mistral,2025Q1,24B,public,mistralai,24.0,24.0,48.0,1,24.0,1,1,1x80GB,34.075253333333336
Mistral-Medium-3,Mistral,2025Q2,32B,gated,mistralai,32.0,32.0,64.0,1,32.0,1,1,1x80GB,45.43367111111112
Mistral-Small-3.2,Mistral,2025Q2,24B,gated,mistralai,24.0,24.0,48.0,1,24.0,1,1,1x80GB,34.075253333333336
Mistral-Large-3,Mistral,2025Q4,123B,public,mistralai,123.0,123.0,246.0,4,123.0,2,1,4x80GB,174.63567333333333
Ministral-3,Mistral,2025Q4,3B,gated,mistralai,3.0,3.0,6.0,1,3.0,1,1,1x80GB,4.259406666666667
Devstral-2,Mistral,2025Q4,24B,gated,mistralai,24.0,24.0,48.0,1,24.0,1,1,1x80GB,34.075253333333336
