family,quarter,short_name,full_name,source,lb_model,accuracy,covered
DeepSeek,2024Q4,V3,DeepSeek-V3,,,,False
DeepSeek,2025Q1,R1,DeepSeek-R1,,,,False
DeepSeek,2025Q3,V3.1,DeepSeek-V3.1,,,,False
DeepSeek,2025Q4,V3.2,DeepSeek-V3.2,,,,False
DeepSeek,2026Q2,V4,DeepSeek-V4,,,,False
Gemma,2024Q1,1,Gemma-1,helm,google/gemma-7b,0.651759008688221,True
Gemma,2024Q2,2,Gemma-2,helm,google/gemma-2-9b,0.7042444096282581,True
Gemma,2025Q1,3,Gemma-3,,,,False
Gemma,2025Q2,3n,Gemma-3n,,,,False
Gemma,2026Q2,4,Gemma-4,,,,False
Gemma,2026Q2,4-12B,Gemma-4-12B,,,,False
Llama,2023Q1,L1,Llama-1,,,,False
Llama,2023Q3,L2,Llama-2,helm,meta/llama-2-70b,0.690571143711722,True
Llama,2024Q2,L3,Llama-3,helm,meta/llama-3-70b,0.7867112946873664,True
Llama,2024Q3,3.1,Llama-3.1,helm,meta/llama-3.1-70b-instruct-turbo,0.8090727816550349,True
Llama,2024Q3,3.2,Llama-3.2,helm,meta/llama-3.2-90b-vision-instruct-turbo,0.8108531548212505,True
Llama,2024Q4,3.3,Llama-3.3,hf,meta-llama/Llama-3.3-70B-Instruct,0.5332446808510638,True
Llama,2025Q2,L4,Llama-4,,,,False
Mistral,2023Q3,7B,Mistral-7B,helm,mistralai/mistral-7b-instruct-v0.3,0.5892323030907278,True
Mistral,2023Q4,Mixtral,Mixtral-8x7B,helm,mistralai/mixtral-8x7b-32kseqlen,0.7069505768409059,True
Mistral,2024Q2,8x22B,Mixtral-8x22B,helm,mistralai/mixtral-8x22b,0.7733941034040734,True
Mistral,2024Q3,L2,Mistral-Large-2,helm,mistralai/mistral-large-2407,0.806580259222333,True
Mistral,2024Q3,Small,Mistral-Small-2,hf,mistralai/Mistral-Small-Instruct-2409,0.409906914893617,True
Mistral,2025Q1,S3,Mistral-Small-3,,,,False
Mistral,2025Q1,S3.1,Mistral-Small-3.1,,,,False
Mistral,2025Q2,M3,Mistral-Medium-3,,,,False
Mistral,2025Q2,S3.2,Mistral-Small-3.2,,,,False
Mistral,2025Q4,L3,Mistral-Large-3,,,,False
Mistral,2025Q4,Min3,Ministral-3,,,,False
Mistral,2025Q4,Dev2,Devstral-2,,,,False
Mistral,2026Q1,S4,Mistral-Small-4,,,,False
Mistral,2026Q2,M3.5,Mistral-Medium-3.5,,,,False
Phi,2023Q2,1,Phi-1,,,,False
Phi,2023Q3,1.5,Phi-1.5,,,,False
Phi,2023Q4,2,Phi-2,helm,microsoft/phi-2,0.5656601623700328,True
Phi,2024Q2,3,Phi-3,helm,microsoft/phi-3-medium-4k-instruct,0.7737501780373166,True
Phi,2024Q3,3.5,Phi-3.5,hf,microsoft/Phi-3.5-mini-instruct,0.3961934840425531,True
Phi,2024Q4,4,Phi-4,,,,False
Phi,2025Q2,4-r,Phi-4-reasoning-plus,,,,False
Phi,2026Q1,4-r-v,Phi-4-reasoning-vision-15B,,,,False
Qwen,2023Q3,7B,Qwen-7B,,,,False
Qwen,2024Q1,1.5,Qwen1.5,helm,qwen/qwen1.5-72b,0.7740350377439111,True
Qwen,2024Q2,2,Qwen2,helm,qwen/qwen2-72b-instruct,0.8274462327303803,True
Qwen,2024Q3,2.5,Qwen2.5,hf,Qwen/Qwen2.5-72B-Instruct,0.5625831117021277,True
Qwen,2025Q2,3,Qwen3,,,,False
Qwen,2026Q1,3.5,Qwen3.5,,,,False
Qwen,2026Q2,3.6,Qwen3.6,,,,False
