F,E,M,N,rank,p,kappa,vif,crossing,connected,rank_pass,kappa_pass,vif_pass,overall_pass
5,8,2,10,9,12,6.622057038952393e+18,999999999999999.9,True,False,False,False,False,False
5,8,3,15,11,12,inf,999999999999999.9,True,True,False,False,False,False
5,8,4,20,11,12,1.353397939121193e+17,999999999999999.9,True,False,False,False,False,False
5,8,5,25,12,12,158.67701237089847,3.086315789473685,True,True,True,False,True,False
5,8,6,30,12,12,89.72856689495832,1.8121212121212127,True,True,True,True,True,True
5,9,2,10,10,13,inf,999999999999999.9,True,False,False,False,False,False
5,9,3,15,11,13,1.1882160564996555e+17,999999999999999.9,True,False,False,False,False,False
5,9,4,20,12,13,inf,999999999999999.9,True,True,False,False,False,False
5,9,5,25,13,13,388.6731728437025,5.813588516746412,True,True,True,False,True,False
5,9,6,30,13,13,137.35062998209239,2.2148148148148157,True,True,True,False,True,False
5,10,2,10,10,14,1.337575701148225e+18,999999999999999.9,False,False,False,False,False,False
5,10,3,15,14,14,251.84442744651088,5.7600000000000025,True,True,True,False,True,False
5,10,4,20,14,14,212.27591891302268,3.840000000000002,True,True,True,False,True,False
5,10,5,25,9,14,inf,999999999999999.9,True,True,False,False,False,False
5,10,6,30,14,14,150.6725312773973,2.094545454545456,True,True,True,False,True,False
5,11,2,10,10,15,inf,999999999999999.9,True,False,False,False,False,False
5,11,3,15,12,15,inf,999999999999999.9,True,False,False,False,False,False
5,11,4,20,15,15,250.46237262595346,5.049040511727078,True,True,True,False,True,False
5,11,5,25,13,15,inf,999999999999999.9,True,True,False,False,False,False
5,11,6,30,14,15,inf,999999999999999.9,True,True,False,False,False,False
5,12,2,10,10,16,inf,999999999999999.9,False,False,False,False,False,False
5,12,3,15,13,16,1.455905526847406e+17,999999999999999.9,True,False,False,False,False,False
5,12,4,20,14,16,2.180017145316678e+17,999999999999999.9,True,False,False,False,False,False
5,12,5,25,13,16,inf,999999999999999.9,True,True,False,False,False,False
5,12,6,30,15,16,3.6050908813416595e+17,999999999999999.9,True,False,False,False,False,False
5,13,2,10,10,17,inf,999999999999999.9,False,False,False,False,False,False
5,13,3,15,15,17,inf,999999999999999.9,True,True,False,False,False,False
5,13,4,20,14,17,inf,999999999999999.9,True,False,False,False,False,False
5,13,5,25,13,17,inf,999999999999999.9,True,True,False,False,False,False
5,13,6,30,17,17,220.35825786771133,3.0753823088455774,True,True,True,False,True,False
5,14,2,10,10,18,inf,999999999999999.9,False,False,False,False,False,False
5,14,3,15,13,18,inf,999999999999999.9,True,False,False,False,False,False
5,14,4,20,16,18,inf,999999999999999.9,True,True,False,False,False,False
