family,quarter,short_name,full_name,hf_repo,trait,trait_se,n_items,n_correct,source,era
Llama,2023Q1,L1,Llama-1,huggyllama/llama-7b,0.3424013673265916,0.0035485294187249288,14042.0,4808.0,fresh,2023Q1
Qwen,2023Q3,7B,Qwen-7B,Qwen/Qwen-7B,0.2294544936618715,0.0035485294187249288,14042.0,3222.0,fresh,2023Q3
Mistral,2023Q3,7B,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,0.6186440677966102,0.0035485294187249288,14042.0,8687.0,fresh,2023Q3
Mistral,2025Q1,S3,Mistral-Small-3,mistralai/Mistral-Small-24B-Instruct-2501,0.8068651189289275,0.0035485294187249288,14042.0,11330.0,fresh,2025Q1
Mistral,2025Q1,S3.1,Mistral-Small-3.1,mistralai/Mistral-Small-3.1-24B-Instruct-2503,0.2340122489673835,0.0035485294187249288,14042.0,3286.0,fresh,2025Q1
Mistral,2025Q2,S3.2,Mistral-Small-3.2,mistralai/Mistral-Small-3.2-24B-Instruct-2506,0.231448511608033,0.0035485294187249288,14042.0,3250.0,fresh,2025Q2
Mistral,2025Q4,Dev2,Devstral-2,mistralai/Devstral-Small-2-24B-Instruct-2512,0.2514599059962968,0.0035485294187249288,14042.0,3531.0,fresh,2025Q4
Mistral,2026Q1,S4,Mistral-Small-4,mistralai/Mistral-Small-4-119B-2603,0.2432701894317049,0.0035485294187249288,14042.0,3416.0,fresh,2026Q1
Phi,2023Q2,1,Phi-1,microsoft/phi-1,0.2480415895171628,0.0035485294187249288,14042.0,3483.0,fresh,2023Q2
Phi,2023Q3,1.5,Phi-1.5,microsoft/phi-1_5,0.4218060105398091,0.0035485294187249288,14042.0,5923.0,fresh,2023Q3
Phi,2023Q4,2,Phi-2,microsoft/phi-2,0.5644495086170062,0.0035485294187249288,14042.0,7926.0,fresh,2023Q4
Phi,2024Q2,3,Phi-3,microsoft/Phi-3-medium-4k-instruct,0.779945876655747,0.0035485294187249288,14042.0,10952.0,fresh,2024Q2
Phi,2024Q4,4,Phi-4,microsoft/Phi-4-mini-instruct,0.6863694630394531,0.0035485294187249288,14042.0,9638.0,fresh,2024Q4
Phi,2025Q2,4-r,Phi-4-reasoning-plus,microsoft/Phi-4-reasoning-plus,0.77823671841618,0.0035485294187249288,14042.0,10928.0,fresh,2025Q2
Gemma,2025Q2,3n,Gemma-3n,google/gemma-3n-E4B-it,0.636376584532118,0.0035485294187249288,14042.0,8936.0,fresh,2025Q2
Gemma,2026Q2,4-12B,Gemma-4-12B,google/gemma-4-12b-it,0.4396809571286141,0.0035485294187249288,14042.0,6174.0,fresh,2026Q2
