rep,scenario,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,ci_family_low,ci_family_high,ci_era_low,ci_era_high,ci_unique_low,ci_unique_high,converged,n_convergence_warnings,llf
0,A,0.334623845869896,0.08659117591884437,0.3473213641845366,0.435404038087445,0.1126702359175682,0.45192572599498676,0.1305082162943989,0.7632505848788828,0.013536330437285709,0.5295765893382914,0.13764851430871286,0.7645760608257236,1,0,-9.343956603443376
1,A,0.6407910661199927,0.3138301109394267,0.24344627798003318,0.5348539127948279,0.26194694599152785,0.20319914121364432,0.19556728140213897,0.8347065785461331,0.07073390226163248,0.5588320185597552,0.06521215556109522,0.419161459759961,1,0,-9.640578484660077
2,A,0.25591621977308926,0.22092287483484324,0.415259939953831,0.28686974187659114,0.2476438896084781,0.4654863685149308,0.05795784359584075,0.699475782648542,0.05874172188169127,0.565851470049717,0.16101355063648645,0.7370165680551525,1,0,-14.92525552326674
3,A,0.1825145858372085,0.347650871663032,0.3122506614323165,0.21665609398414234,0.4126830717621449,0.37066083425371277,0.04477579059766345,0.5969582350351689,0.14071026814143478,0.7034120969281786,0.13992429238239237,0.623714646491298,1,0,-11.387333390332145
4,A,0.10654634703482697,0.20889041744533113,0.3741529384166933,0.15450687066126934,0.3029198617204075,0.5425732676183231,0.022429210468259363,0.5651741865115765,0.08522976757865336,0.6166545511192137,0.19878776426033917,0.8002081896255826,1,0,-11.318240903405144
5,A,0.5553880432571451,0.11260229212150395,0.28184110813629915,0.584722739017646,0.11854976258188261,0.2967274984004713,0.2428531728805887,0.8481288019849962,0.023359141235117502,0.4091107928610812,0.09454913803180474,0.5849621587297413,1,0,-7.5305733412131595
6,A,0.6040159189296762,0.21213776135406967,0.395107837511381,0.4986668114654325,0.1751378692689143,0.32619531926565315,0.16711575036211393,0.8150897056831161,0.03732793178259692,0.4660924850056501,0.10910578112914997,0.5927447638955546,1,0,-15.75464609220661
7,A,0.9062648897295835,0.4346572816147972,0.28268744612866453,0.5581790597792077,0.26771046250101016,0.17411047771978205,0.21274724487483002,0.8458067455848769,0.07313764044155434,0.5732660866252238,0.05276905902864508,0.38488304648153887,1,0,-14.414382786358587
8,A,0.4526207957306082,0.2508902084908957,0.36904921633749505,0.4220003567675766,0.2339171299492501,0.3440825132831733,0.1240345399069826,0.7680742086118874,0.05501131115478522,0.5490882999532096,0.11995159296596232,0.5997434497133061,1,0,-14.61079279857214
9,A,0.2429465058193892,0.11147922515294935,0.19297214558379464,0.4438206946432613,0.20365300986241158,0.3525262954943272,0.14158960303011348,0.7756104651025156,0.035255511187034703,0.5728457350856042,0.12846537294072513,0.6168860729826848,1,0,0.885583441367011
10,A,0.3401575518633819,0.1022200770721677,0.40063509380463125,0.40350227545524187,0.12125567540654097,0.4752420491382171,0.11200728911335077,0.7435176846214147,0.013829589702237447,0.5050597509304903,0.17713219158572838,0.7515110336272312,1,0,-12.419221980682352
11,A,0.8757650234180995,0.3426743606686597,0.2700051507263102,0.5883759877744353,0.23022313069374498,0.1814008815318198,0.22670556203310535,0.8613603452364678,0.05288938078061584,0.5603316887287613,0.05370293281692976,0.4019092925015008,1,0,-12.43938230107449
12,A,0.364919112229009,0.4293721419022353,0.18130152331278898,0.37404859964734954,0.4401141048083118,0.1858372955443386,0.11271553428302496,0.7289195135104253,0.1618367667172909,0.7097226394655194,0.0696873061970982,0.3532923256706295,1,0,-5.377968779426723
13,A,0.4119278850113807,0.37247535308653223,0.2974653500842139,0.3807559342337009,0.344288906393341,0.2749551593729581,0.10725469168022099,0.7401998424530586,0.09927081878406908,0.6602763491831403,0.09622734754628279,0.510662291235399,1,0,-12.63831330646013
14,A,1.1444664837854321,0.45417496151273756,0.334899284572565,0.5919019269182628,0.23489288562496485,0.17320518745677232,0.23495791159136442,0.8618843807229788,0.05663541523663863,0.5499959140138909,0.05463630004222604,0.3760506860650244,1,0,-17.840108708515658
15,A,1.0381093489723925,0.3275739058389015,0.1813136960653929,0.6710480899035343,0.2117482556466996,0.11720365444976603,0.311198365257947,0.8957491779974843,0.053128588032697516,0.5145893389909714,0.035637877443334805,0.27147770868091176,1,0,-6.417061260475663
16,A,0.21533736172471646,0.22504103134528536,0.25780048619327045,0.30842720701024834,0.32232575064824603,0.3692470423415056,0.07501194377384066,0.6880037013839855,0.09120637970816546,0.6320859800537476,0.12223829396623485,0.652931293776515,1,0,-6.59181671560146
17,A,0.9834603867687167,0.1684850745851227,0.30220239784514724,0.6763138841399893,0.11586516014811057,0.20782095571190032,0.3187471794237375,0.8869351574038624,0.022347112270493654,0.4227336583608255,0.06388766887463149,0.46109263103066495,1,0,-11.487566651609956
18,A,0.029132482523855512,0.03230166022224907,0.302436822273117,0.08006267420187423,0.0887722938282331,0.8311650319698927,0.0022843426182198217,0.7235346934641537,0.003655586665314,0.6408809583387081,0.15308732843005152,0.9744860244366305,1,0,-0.6251794585772537
19,A,0.26984714144888877,0.21268062309016453,0.24044178100159547,0.37324828288180867,0.2941764620681475,0.3325752550500437,0.10062885534462018,0.7425752743202896,0.08427454614024714,0.5845307877054969,0.11771106843614632,0.5780151478256408,1,0,-5.675887794325394
20,A,0.36173838231262717,0.5825716864451161,0.4271421616905889,0.26376302016321324,0.42478452658513055,0.31145245325165627,0.06372924009442334,0.6312479136353317,0.14004540164585533,0.728939912798981,0.11411895508658759,0.5570294934188474,1,0,-20.316889863290168
21,A,0.24308954591431933,0.16665862834532572,0.410689186315906,0.29629263316798227,0.20313388486893355,0.5005734819630842,0.06500877280263853,0.6935388684239475,0.04533352730364065,0.5182290914245521,0.17312500568882128,0.775954418036393,1,0,-13.635867013383663
22,A,0.2688351705681076,0.1286521046082108,0.31834400858052986,0.3755566104308803,0.17972406002293556,0.44471932954618415,0.10155725564881753,0.7340901198222635,0.03743001196775328,0.4960096086699622,0.1446916102311385,0.7459254653224718,1,0,-8.489060123193056
23,A,0.3550165536034723,0.24164829698231485,0.17982709078253442,0.45720571546160266,0.31120515759183043,0.23158912694656691,0.14648530944549595,0.7891984518446322,0.0858689235756386,0.6193294772007802,0.08047855390217552,0.4402802546470281,1,0,-2.208075666567737
24,A,4.7758807879199234e-08,0.14137819985766206,0.34255856640641724,9.86881065777743e-08,0.292141857699166,0.7078580436127274,1.0531249197738439e-13,0.9999999999999672,3.305115410825318e-15,0.6672372684259621,2.0764736896626815e-14,0.9177689914335693,1,0,-5.56516862518005
25,A,0.23529184425592906,0.25515531283500004,0.2819404415993416,0.3046292362214397,0.3303462060598385,0.3650245577187217,0.07324420520755572,0.6894632801880238,0.10327908823306481,0.6096221632882239,0.13876024036703644,0.5978138778642287,1,0,-8.807999389065609
26,A,0.04124380002493206,0.080763013035925,0.2552027125645045,0.10933923250362118,0.21410650460650751,0.6765542628898712,0.008687602401997232,0.6086819145144309,0.04112360772137141,0.5608000462378063,0.21822134449442598,0.8937398676404248,1,0,0.23886962306127302
27,A,0.4848596411118786,0.06580712231865797,0.47163108115628205,0.4742841273502283,0.06437177058243254,0.4613441020673391,0.12597106204558042,0.7902588962030612,0.002827037006565545,0.6349200785083398,0.11472910926842252,0.7744537279227685,1,0,-15.239594554633836
28,A,0.5018826005335258,0.16328329160938773,0.4043375851920541,0.46926691793853476,0.15267205303180845,0.3780610290296568,0.1559288871507099,0.7915392398076565,0.03229440313454301,0.44296741116436256,0.1273519711788845,0.6704517709418039,1,0,-14.819019059258903
29,A,0.380318946566628,0.18246408439814885,0.34864623622984076,0.4172775225193843,0.2001955510599017,0.382526926420714,0.12412031798775083,0.7636743545201674,0.040032690992469776,0.5395329336203091,0.1356661832600778,0.6418411647066389,1,0,-12.033522912992094
