rep,scenario,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,ci_family_low,ci_family_high,ci_era_low,ci_era_high,ci_unique_low,ci_unique_high,converged,n_convergence_warnings,d_collinearity,d_se_inflation,d_profile_flat,d_non_convergence,detected,silent_ci_covers
0,A,0.5959682666496433,0.11588140836383073,0.13838034131015126,0.70094945509757,0.13629418644251026,0.1627563584599196,8.756510762696299e-27,0.9999999999999934,8.756510762696295e-27,0.9999999999999932,5.868246622486647e-15,2.8671113614256345e-14,1,0,1,1,1,0,1,0
1,A,0.10103808410159223,1.2292695328893946,0.1672436952245868,0.06746886285459561,0.8208530304519143,0.11167810669349,8.756510762696276e-27,0.999999999999992,8.756510762696283e-27,0.9999999999999907,7.338687198912896e-15,0.004744987225770633,1,0,1,1,1,0,1,0
2,A,0.0014893915739836604,0.6770072384700945,0.24506243170038075,0.0016126652162022342,0.7330416283191824,0.26534570646461536,1.0572860475882204e-16,0.999999999999985,4.244194277115734e-17,0.9997325830124402,1.1407128323572996e-14,0.33013424671335917,1,0,1,1,1,0,1,1
3,A,0.3257146903650103,1.286195886796347,0.26390275184410883,0.17363918111068136,0.6856737111886675,0.14068710770065107,8.75651076269609e-27,0.9999999999999878,8.7565107626961e-27,0.9999999999999867,1.1158276642243485e-14,5.4470192425728475e-14,1,0,1,1,1,0,1,0
4,A,0.034759848948044444,0.2567713101863583,0.19467677095671276,0.07149173593596146,0.5281100827340255,0.40039818133001304,8.756510762696207e-27,0.999999999999991,8.756510762696206e-27,0.9999999999999901,8.24534409514958e-15,4.080965319265795e-14,1,0,1,1,1,0,1,0
5,A,0.45137748122149035,0.3724805853282253,0.18544897928237358,0.44721522859217466,0.3690458586080177,0.1837389127998075,8.756510762696222e-27,0.999999999999991,8.756510762696224e-27,0.9999999999999905,7.916946519964153e-15,1.3573974644606226e-08,1,0,1,1,1,0,1,0
6,A,0.2788262102833625,0.8024203918402916,0.25114448178075804,0.2092675443806602,0.6022408897310352,0.18849156588830457,8.756510762696118e-27,0.9999999999999881,8.75651076269612e-27,0.9999999999999872,1.06978689644306e-14,2.2634332762531156e-08,1,0,1,1,1,0,1,0
7,A,0.356981026516262,0.23803705630145933,0.3244557780978167,0.38824488839825094,0.2588839840041142,0.3528711275976347,8.756510762695995e-27,0.999999999999985,8.756510762695996e-27,0.9999999999999836,1.3631220658416903e-14,6.734324178304735e-14,1,0,1,1,1,0,1,0
8,A,0.5622020818653917,2.061153622438558e-09,0.5147056057685624,0.5220522494593399,1.9139557105605853e-09,0.4779477486267045,1.4232544132471814e-14,0.8427922368228381,3.552714815498925e-14,0.9999999999999408,2.5891413138982655e-14,0.8291963187767176,1,0,1,1,1,0,1,1
9,A,0.3153418255036695,0.0002748430492171331,0.16918052779904838,0.6504613225418683,0.0005669237596366229,0.3489717536984949,2.880024219429014e-16,0.9960731857532421,2.1923511637945113e-15,0.9999999999999881,8.589796955790671e-15,0.47693727726353125,1,0,1,1,1,0,1,1
10,A,0.7565918372531795,0.3518252851833791,0.3626884855245028,0.5143015111619409,0.2391570552647173,0.24654143357334193,8.756510762695935e-27,0.9999999999999827,8.756510762695942e-27,0.9999999999999816,1.5383461152472303e-14,7.984350266472822e-12,1,0,1,1,1,0,1,0
11,A,0.0005967257189763647,0.8785503689464772,0.24994609836683865,0.0005284999702936816,0.7781026175412878,0.22136888248841843,7.103101101000578e-16,0.9999999999999821,5.075993960952074e-16,0.998029553339572,1.1603136922104559e-14,0.3088139823587408,1,0,1,1,1,0,1,1
12,A,0.8349639619410413,0.35567574631818555,0.12164372818538072,0.6362680033539277,0.27103576593317685,0.09269623071289554,8.756510762696312e-27,0.9999999999999946,8.756510762696335e-27,0.9999999999999936,5.0497205881702744e-15,2.5404336686738238e-14,1,0,1,1,1,0,1,0
13,A,0.5289912547376093,0.0027714014441364626,0.5448020041112875,0.4913697005376543,0.0025743009652407747,0.5060559984971049,8.756510762695648e-27,0.9999999999999745,8.756510762695659e-27,0.9999999999999728,2.3170296984176e-14,1.5138277448428923e-13,1,0,1,1,1,0,1,0
14,A,0.00018065525335729616,0.06110216242563924,0.20550437304380684,0.0006771511513272021,0.22902959568671896,0.7702932531619539,1.2057945635623645e-15,0.9999999999999889,4.1856964037550855e-18,0.9978013685132461,9.427592211930313e-15,0.9241300202633268,1,0,1,1,1,0,1,1
15,A,2.061153622438558e-09,2.061153622438558e-09,0.6266482344410931,3.2891716526065415e-09,3.2891716526065415e-09,0.9999999934216567,7.30084455330579e-14,0.49999999999999406,6.551618638193885e-14,0.4999999999999929,1.65380202277992e-14,0.9999999999998296,1,0,1,1,1,0,1,0
16,A,0.4499891418074465,1.2129498167415226e-05,0.27758917888766155,0.6184648818410308,1.6670777034241134e-05,0.38151844738193497,2.046411872199675e-16,0.9979710664459036,6.898413919105913e-16,0.9999999999999817,1.4105151074697117e-14,0.4980160493726013,1,0,1,1,1,0,1,1
17,A,0.67006635990122,0.9429608547366345,0.16384795229546123,0.3771037900527803,0.5306849193936779,0.0922112905535419,8.756510762696259e-27,0.9999999999999921,8.75651076269626e-27,0.9999999999999916,7.000428768372063e-15,3.115846255118971e-06,1,0,1,1,1,0,1,0
18,A,0.608268508119843,0.14964332636656474,0.38080320060547457,0.5341709640909081,0.13141420087993316,0.3344148350291588,8.756510762695909e-27,0.9999999999999821,8.756510762695913e-27,0.9999999999999808,1.6202190777803754e-14,1.7786985558352055e-13,1,0,1,1,1,0,1,0
19,A,0.05660572597044641,0.598688261226006,0.22144263317883042,0.06456411726730042,0.6828598775419469,0.2525760051907527,8.756510762696158e-27,0.9999999999999898,8.756510762696163e-27,0.9999999999999889,9.33466617581453e-15,4.597659241060118e-14,1,0,1,1,1,0,1,0
20,A,0.7158113230722695,0.9222224963005238,0.26364508018962896,0.37641019376982,0.4849517426484186,0.13863806358176128,8.756510762696097e-27,0.9999999999999876,8.756510762696094e-27,0.9999999999999868,1.114923017539192e-14,5.441039729580178e-14,1,0,1,1,1,0,1,0
