rep,scenario,path,occ,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,bias_pp_family,bias_pp_era,era_boundary,ranking_ok,converged
0,A,lpm,d2,0.013197906066147572,0.004766446423594411,0.023147397404504014,0.32102515947623894,0.11593878722884338,0.5630360532949176,-17.897484052376107,-8.406121277115663,0,1,1
0,A,glmm,d2,0.17947800935529068,6.914398791185899e-13,0.614260955271785,0.22611717120307798,8.71117470518596e-13,0.7738828287960509,-27.388282879692206,-19.99999999991289,1,1,0
1,A,lpm,d2,0.022177027947229318,0.02868209513447125,0.013587309942003837,0.3441156772644385,0.44505326033981624,0.21083106239574517,-15.588432273556151,24.50532603398162,0,0,1
1,A,glmm,d2,0.43586971197998914,0.5448802805627533,0.1792218580154203,0.37575887015728404,0.46973577876097966,0.15450535108173633,-12.424112984271595,26.973577876097966,0,0,1
2,A,lpm,d2,0.009529839456622842,0.020034851057386137,0.011530005289980896,0.23189950114432023,0.4875288809277658,0.28057161792791396,-26.810049885567977,28.75288809277658,0,0,1
2,A,glmm,d2,0.20239576734718637,0.38830866852519147,0.16852507623504126,0.26658047944604996,0.5114509675043453,0.22196855304960486,-23.341952055395005,31.145096750434526,0,0,1
3,A,lpm,d2,0.006729392920975042,0.015113943773682418,0.015245087833483955,0.18144186512611263,0.4075110756515009,0.4110470592223865,-31.85581348738874,20.75110756515009,0,0,1
3,A,glmm,d2,6.15629481217452e-06,6.914400107573044e-13,0.777669120068504,7.916279454013315e-06,8.891114733518429e-13,0.9999920837196569,-49.999208372054596,-19.99999999991109,1,1,0
4,A,lpm,d2,2.061153622438558e-09,0.014723386301203931,0.022932425374625587,5.473666395407688e-08,0.39099902086948024,0.6090009243938559,-49.9999945263336,19.099902086948024,0,0,1
4,A,glmm,d2,0.20160385950190432,6.914399244542206e-13,0.47862585812135583,0.29637614217460007,1.0164800309951562e-12,0.7036238578243835,-20.362385782539995,-19.999999999898353,1,1,0
5,A,lpm,d2,0.05378276115117351,0.006893253050817928,0.024153538754562234,0.6340097203944821,0.08126004217360874,0.2847302374319091,13.400972039448211,-11.873995782639128,0,1,1
5,A,glmm,d2,1.223632392753007,6.914399830387346e-13,0.8953018466034494,0.5774753977849914,3.2631497957600934e-13,0.42252460221468235,7.747539778499135,-19.99999999996737,1,1,0
6,A,lpm,d2,0.003759488429010073,0.009787886346968463,0.014286908578309256,0.13506683039608183,0.3516485846746497,0.5132845849292684,-36.49331696039182,15.16485846746497,0,0,1
6,A,glmm,d2,6.163783551747004e-06,6.914399747306334e-13,0.49354496108897666,1.2488642495405751e-05,1.4009490403010345e-12,0.9999875113561036,-49.99875113575046,-19.999999999859906,1,1,0
7,A,lpm,d2,0.013815928990269384,0.00992825941613188,0.016840054452563116,0.3404259391577556,0.2446333531620609,0.4149407076801836,-15.95740608422444,4.463335316206088,0,1,1
7,A,glmm,d2,0.31378089410966103,6.914399790612993e-13,0.5581523367518941,0.3598680300318019,7.929964756332785e-13,0.6401319699674051,-14.01319699681981,-19.9999999999207,1,1,0
8,A,lpm,d2,0.012959677044389491,0.007715603374780272,0.020656858132657812,0.3135496371217031,0.186673219560257,0.4997771433180399,-18.64503628782969,-1.3326780439743002,0,1,1
8,A,glmm,d2,0.16984662153042818,6.914399861913254e-13,0.5150346678811303,0.2479942497424434,1.0095763994147131e-12,0.752005750256547,-25.200575025755654,-19.999999999899043,1,1,0
9,A,lpm,d2,0.010010167815732938,0.008927456181248863,0.011056787149696047,0.3337344336176993,0.297637321085987,0.36862824529631366,-16.62655663823007,9.763732108598699,0,1,1
9,A,glmm,d2,0.09725909100683645,6.914400110309301e-13,0.35373641392262856,0.21565423589287994,1.5331416909310663e-12,0.784345764105587,-28.43457641071201,-19.999999999846686,1,1,0
10,A,lpm,d2,0.03181065285993397,0.015203487493152281,0.017526479938028076,0.49287801568144407,0.23556463239082678,0.2715573519277293,-0.712198431855593,3.556463239082677,0,1,1
10,A,glmm,d2,0.6310249504408412,0.3283013624273307,0.25102154001367677,0.5213583425115064,0.2712454619105097,0.2073961955779839,2.1358342511506367,7.1245461910509675,0,1,1
11,A,lpm,d2,0.007323928406601328,0.011022528316927566,0.018408929711059455,0.1992613632191119,0.29988878872335584,0.5008498480575322,-30.07386367808881,9.988878872335583,0,0,1
11,A,glmm,d2,6.156729447732869e-06,6.914399844041785e-13,0.8146110094109263,7.557819431792726e-06,8.487913257212694e-13,0.9999924421797195,-49.99924421805682,-19.999999999915122,1,1,0
12,A,lpm,d2,0.024742370359556936,0.01108150935808751,0.014448397994414105,0.49216728355282197,0.22042982459554336,0.2874028918516346,-0.7832716447178034,2.042982459554335,0,1,1
12,A,glmm,d2,0.45794036532107035,6.914400233815299e-13,0.5457756949682551,0.4562449316480516,6.888801033847591e-13,0.5437550683512595,-4.375506835194843,-19.999999999931113,1,1,0
13,A,lpm,d2,0.035643437242739,0.01026047492966277,0.016660863270450126,0.5697045500514348,0.1639976305682568,0.26629781938030833,6.970455005143483,-3.60023694317432,0,1,1
13,A,glmm,d2,0.7898550491812201,6.914399376728017e-13,0.609677139356687,0.5643707630661874,4.940507573425718e-13,0.43562923693331856,6.437076306618739,-19.999999999950596,1,1,0
14,A,lpm,d2,0.012404081681724214,0.009080887879771172,0.01617985511316738,0.3293280079986267,0.24109730917929667,0.42957468282207656,-17.067199200137328,4.1097309179296655,0,1,1
14,A,glmm,d2,0.3775806715987514,0.1434234980459164,0.2637246811487258,0.48116068526982486,0.18276822357290579,0.3360710911572694,-1.8839314730175138,-1.7231776427094225,0,1,1
15,A,lpm,d2,0.009718707595054998,0.02495320006728118,0.018340215700032067,0.1833299060409647,0.4707074247283354,0.3459626692307,-31.667009395903534,27.070742472833537,0,0,1
15,A,glmm,d2,0.1727457058516675,0.41917312772971377,0.284480555398966,0.1971084279881227,0.47829007299674586,0.3246014990151314,-30.289157201187734,27.829007299674586,0,0,1
16,A,lpm,d2,0.01603075534011462,0.03247073739935676,0.017949538203459306,0.24124163481951266,0.4886415897330954,0.270116775447392,-25.875836518048732,28.86415897330954,0,0,1
16,A,glmm,d2,0.32461093383178247,0.6654681517634474,0.2369236710209732,0.26455599393027135,0.5423526134518707,0.19309139261785788,-23.544400606972864,34.23526134518707,0,0,1
17,A,lpm,d2,0.02935723189313868,0.02240728039820604,0.014340816220826835,0.4440978141078797,0.3389633014845442,0.21693888440757622,-5.590218589212031,13.896330148454417,0,1,1
17,A,glmm,d2,0.6794116846063406,0.5595950075932373,0.2754087825330147,0.44862965014690404,0.36951220911952687,0.18185814073356912,-5.1370349853095965,16.951220911952685,0,1,1
18,A,lpm,d2,0.003324813679832932,0.02407918550805186,0.02414868036814452,0.06449351825096511,0.4670792229506079,0.46842725879842706,-43.550648174903486,26.707922295060786,0,0,1
18,A,glmm,d2,6.155289583336605e-06,0.34852844552224027,0.4219495661923418,7.988859274383154e-06,0.4523499124938619,0.5476420986468639,-49.99920111407256,25.23499124938619,0,0,0
19,A,lpm,d2,0.003511177808820349,0.0184239646675447,0.018833850914287756,0.08612373072780757,0.45191119856711504,0.46196507070507736,-41.387626927219245,25.191119856711502,0,0,1
19,A,glmm,d2,6.149848993074657e-06,6.914400153060773e-13,0.7996482249987764,7.69063383694998e-06,8.646735853062883e-13,0.9999923093652984,-49.99923093661631,-19.999999999913534,1,1,0
20,A,lpm,d2,0.05657606423296068,0.00837822271274246,0.01639626244778668,0.6954601370828388,0.1029891349868737,0.2015507279302875,19.546013708283883,-9.70108650131263,0,1,1
20,A,glmm,d2,1.2115342645192215,6.914400887761094e-13,0.6081222799108454,0.6658038123882465,3.7998384414483673e-13,0.33419618761137354,16.58038123882465,-19.999999999962004,1,1,0
21,A,lpm,d2,0.04773101578318742,0.014682816556669344,0.01791973796147224,0.5941602695379988,0.1827731109372396,0.22306661952476153,9.416026953799882,-1.7226889062760402,0,1,1
21,A,glmm,d2,1.1062744422901905,6.91440015938171e-13,0.8909636718835309,0.5539021283636403,3.46198087764807e-13,0.4460978716360135,5.390212836364028,-19.999999999965382,1,1,0
22,A,lpm,d2,0.020802220929853517,0.025097342960689255,0.015330362174209517,0.3397394422435626,0.4098868735224038,0.25037368423403367,-16.026055775643737,20.988687352240383,0,0,1
22,A,glmm,d2,0.4215196462406822,0.45919992657198083,0.1848822613143923,0.39556955772884206,0.43093012029972616,0.17350032197143173,-10.443044227115795,23.093012029972616,0,0,1
23,A,lpm,d2,0.013631335345899047,0.02221121787967531,0.018776903048336242,0.24956922451844615,0.4066539543764127,0.34377682110514113,-25.043077548155384,20.66539543764127,0,0,1
23,A,glmm,d2,0.2848543738074552,0.5033223107266854,0.2902906280599146,0.26412888965757364,0.4667014983662656,0.2691696119761606,-23.587111034242636,26.67014983662656,0,0,0
24,A,lpm,d2,0.038867757773726495,0.012110213672834514,0.015770945342827948,0.5822979554314698,0.18142936627789094,0.23627267829063928,8.229795543146977,-1.8570633722109071,0,1,1
24,A,glmm,d2,0.794759925801357,0.20961885378437653,0.29549052953758637,0.6114152555362451,0.16126148399161086,0.22732326047214402,11.14152555362451,-3.873851600838915,0,1,1
25,A,lpm,d2,0.012836958398601637,0.00696115767202315,0.008327256936318648,0.45641913426117126,0.2475045458172099,0.29607631992161887,-4.358086573882875,4.750454581720989,0,1,1
25,A,glmm,d2,0.303954835146698,0.12150315754390546,0.12222382853685342,0.554984341940506,0.2218499004980561,0.2231657575614379,5.498434194050605,2.1849900498056103,0,1,1
26,A,lpm,d2,2.061153622438558e-09,0.008317460861070528,0.02476799457150001,6.229787279893378e-08,0.2513932552586958,0.7486066824434314,-49.99999377021272,5.139325525869581,0,0,1
26,A,glmm,d2,6.154583369750372e-06,6.914399080676226e-13,0.6214381757526601,9.903676112734978e-06,1.1126337055693713e-12,0.9999900963227747,-49.99900963238873,-19.999999999888736,1,1,0
27,A,lpm,d2,0.020673283988638245,0.009922588191179455,0.015111793016619616,0.45229359014053566,0.21708805620534896,0.33061835365411546,-4.770640985946434,1.708805620534895,0,1,1
27,A,glmm,d2,0.361612802315213,6.914401259779509e-13,0.4866655577079218,0.42629025960895206,8.151099433428078e-13,0.5737097403902328,-7.370974039104794,-19.99999999991849,1,1,0
28,A,lpm,d2,0.006548255202247081,0.003513962386156996,0.029675491222872802,0.16478693407680312,0.08842891277012413,0.7467841531530728,-33.52130659231969,-11.157108722987589,0,1,1
28,A,glmm,d2,6.149890192577117e-06,6.914400150585541e-13,0.9999514203503679,6.150151142006337e-06,6.914693539364233e-13,0.9999938498481665,-49.9993849848858,-19.999999999930854,1,1,0
29,A,lpm,d2,0.07071720044850119,0.009445897315168464,0.012279072879908625,0.7649885323567284,0.10218169099023257,0.13282977665303905,26.498853235672836,-9.781830900976745,0,1,1
29,A,glmm,d2,1.3983689890103586,6.914401914253326e-13,0.6596670719026199,0.6794676806535398,3.359708824141624e-13,0.32053231934612414,17.94676806535398,-19.999999999966402,1,1,0
0,B,lpm,d2,0.01617650848950218,0.02949495058060476,0.015619071646964449,0.2639316106459574,0.4812317699900331,0.25483661936400936,6.393161064595737,-1.8768230009966913,0,1,1
0,B,glmm,d2,0.4668045277341769,0.9992167787686056,0.1885593143529874,0.2821286082105445,0.6039093932163899,0.1139619985730657,8.212860821054447,10.390939321638992,0,1,1
1,B,lpm,d2,2.061153622438558e-09,0.018762707804732902,0.016373112665259416,5.8662455407482215e-08,0.5340050823657482,0.46599485897179627,-19.99999413375446,3.4005082365748174,0,1,1
1,B,glmm,d2,6.147301784372206e-06,6.914400289212626e-13,0.6430376264186776,9.55969412284193e-06,1.075261214209494e-12,0.9999904403048019,-19.99904403058772,-49.999999999892474,1,0,0
2,B,lpm,d2,0.0002044954018648162,0.04278541025775158,0.013402350093483168,0.0036263029228721048,0.7587107429267875,0.23766295415034033,-19.63736970771279,25.871074292678752,0,1,1
2,B,glmm,d2,6.164500421497131e-06,0.8438681218687811,0.19042928416724372,5.960049444961197e-06,0.8158805073360668,0.18411353261448832,-19.999403995055506,31.588050733606675,0,1,1
3,B,lpm,d2,0.014728432617404466,0.012697086823864088,0.026579214579460362,0.2727248431915464,0.23511062602383154,0.492164530784622,7.272484319154637,-26.488937397616848,0,0,1
3,B,glmm,d2,0.1386276040051389,6.914400315167269e-13,0.7601999239194106,0.15423159582699064,7.692688641977561e-13,0.8457684041722401,-4.576840417300937,-49.99999999992307,1,0,0
4,B,lpm,d2,0.03983067064252644,0.03626780406819197,0.010597962390254862,0.45942684583608223,0.4183309635429623,0.12224219062095562,25.942684583608223,-8.166903645703771,0,0,1
4,B,glmm,d2,0.9139272681539594,0.9727939660548196,0.13674259257837054,0.4516647424357917,0.48075678605009664,0.06757847151411155,25.166474243579167,-1.924321394990336,0,1,1
5,B,lpm,d2,0.02834751305392683,0.010778732636880584,0.012685022914307793,0.5471302636880068,0.20803838483538742,0.2448313514766058,34.713026368800676,-29.19616151646126,0,0,1
5,B,glmm,d2,0.47169966069863695,0.43529876933683365,0.12128562744646952,0.4587250548780598,0.42332540913139544,0.1179495359905448,25.87250548780598,-7.667459086860457,0,0,1
6,B,lpm,d2,0.004070473552190872,0.0328696263010803,0.012591577209280022,0.08217919912242148,0.6636081847091673,0.2542126161684111,-11.782080087757853,16.360818470916726,0,1,1
6,B,glmm,d2,0.07377322489481376,0.6085837312515697,0.17068154830676668,0.0864828779822863,0.7134305521668206,0.20008656985089318,-11.351712201771372,21.34305521668206,0,1,1
7,B,lpm,d2,0.009170314872439902,0.02955419014796314,0.01284523515800119,0.1778235616606837,0.5730917015622176,0.24908473677709872,-2.217643833931632,7.3091701562217555,0,1,1
