rep,scenario,s2_LE_est,s2_LE_se,s2_LE_se_ratio,s2_LE_converged,s2_LE_n_warn,boundary_zero,collinear_with,llf_without,llf_with,converged_without
0,A,0.2238362143959852,0.16257528596925688,0.7263135967875487,1,0,0,0,-14.215544166281221,-16.29333707468236,1
1,A,0.36871698025525007,0.1319460309513507,0.35785178881647656,1,0,0,0,-16.310949284797395,-13.04346902028251,1
2,A,0.2567020107132943,0.19678376447242513,0.7665844296490893,1,0,0,0,-15.993712374141534,-15.391714166570369,1
3,A,0.3344022515490261,0.1529346020733687,0.45733723790716535,1,0,0,0,-16.983384857150924,-15.445458608185692,1
4,A,0.05602375518182172,0.29755836030807425,5.311289101245829,1,0,0,0,-13.596353395953807,-13.58167705674617,1
5,A,2.061153622438558e-09,0.00020611536224243238,99999.99999930941,1,0,0,0,-5.364578552614809,-5.364578552585446,1
6,A,0.04172211519375396,0.14410953585890046,3.454032356453358,1,0,0,0,-13.542115356935048,-13.500394372619873,1
7,A,2.061153622438558e-09,1.0546959338746731e-06,511.701758856217,1,0,0,0,-10.315186530646331,-10.315186530643421,1
8,A,0.2851562867307153,0.12285411337322126,0.43083080784130634,1,0,0,0,-9.127581454179339,-7.536536392454321,1
9,A,0.1726290052713381,0.26672988716068496,1.5451046986075092,1,0,0,0,-23.14927743164019,-22.95336859377407,1
0,B,2.061153622438558e-09,1.8484630746945266e-06,896.8099488419517,1,0,0,0,-7.342176853414001,-7.342176853379691,1
1,B,0.2609394616054636,0.13437302541145138,0.5149586213779398,1,0,0,0,-11.118932618874007,-9.448706004388214,1
2,B,1.0147409399074652e-05,1.0147409395634082,99999.9999660941,1,0,0,0,-14.155750151337978,-14.155735846714148,1
3,B,0.1371709499926649,0.15498613098653788,1.1298757571834679,1,0,0,0,-8.98668189193335,-8.807979737689882,1
4,B,0.07517588111293137,0.15747649945449818,2.094774243057191,1,0,0,0,-8.996499494728464,-8.991696225606077,1
5,B,0.18517343669220757,0.07672930076492294,0.4143645121868165,1,0,0,0,-0.9773078218007498,1.3963344526501018,1
6,B,2.061153622438558e-09,1.3563612035820838e-06,658.05924838216,1,0,0,0,-3.5982455851030686,-3.5982455850583754,1
7,B,2.061153622438558e-09,0.000206115362236171,99999.99999627161,1,0,0,0,-8.505045701558496,-8.505045701549241,1
8,B,0.09039217709643034,0.2044971128487253,2.2623319784694185,1,0,0,0,-14.491861140667208,-14.406122174426972,1
9,B,0.5665844601238271,0.17558781966123346,0.3099058163770653,1,0,0,0,-11.141771040075888,-10.39946432721752,1
0,C,0.14193959402807885,0.17962605516338667,1.2655105602729326,1,0,0,0,-9.464227152903327,-9.259578103630954,1
1,C,2.061153622438558e-09,8.67908982930495e-07,421.0792313013859,1,0,0,0,-12.526174516266304,-12.526174516224536,1
2,C,0.00661147219395955,0.10388955901145797,15.713528842543534,1,0,0,0,-13.446044095758733,-13.444015529044258,1
3,C,0.1470482854739748,0.1925253924211223,1.3092664888989556,1,0,0,0,-12.398681664713305,-12.172807752927767,1
4,C,0.2648086559606171,0.09645472720100279,0.36424310546460287,1,0,0,0,-4.3795660815555735,-1.9942034215016058,1
5,C,2.061153622438558e-09,0.0002061153622432796,99999.99999972046,1,0,0,0,-12.945487687676486,-12.945487687648962,1
6,C,0.10868687512642866,0.1731201742937268,1.5928342230130998,1,0,0,0,-17.691196711222023,-17.496124597051484,1
7,C,2.061153622438558e-09,1.7565051923511829e-06,852.1951848853729,1,0,0,0,-14.309302695812807,-17.7606906865139,1
8,C,0.1792544944194401,0.1996492199366441,1.1137752533528231,1,0,0,0,-13.991119777383032,-13.624802215268033,1
9,C,0.24270472904747045,0.13022196786392812,0.5365448311411274,1,0,0,0,-17.257727823556863,-15.828324858375314,1
