full_name,family,era,trait,trait_se
Llama-1,Llama,2023Q1,-1.546856722650111,0.02
Llama-2,Llama,2023Q3,-0.8602427893974021,0.02
Llama-3,Llama,2024Q2,-0.9291238884504849,0.02
Llama-3.1,Llama,2024Q3,-1.2129206318869488,0.02
Llama-3.2,Llama,2024Q3,-0.751943395398013,0.02
Llama-3.3,Llama,2024Q4,-0.07453760707836365,0.02
Llama-4,Llama,2025Q2,-1.857940148460576,0.02
Qwen-7B,Qwen,2023Q3,0.46460526248262446,0.02
Qwen1.5,Qwen,2024Q1,-0.47133556958599887,0.02
Qwen2,Qwen,2024Q2,0.22993573253336552,0.02
Qwen2.5,Qwen,2024Q3,-0.8865542386128509,0.02
Qwen3,Qwen,2025Q2,0.26753354536918017,0.02
Qwen3.5,Qwen,2026Q1,0.24353132237698857,0.02
Qwen3.6,Qwen,2026Q2,-0.2939190502541369,0.02
DeepSeek-V3,DeepSeek,2024Q4,-1.021066844245751,0.02
DeepSeek-R1,DeepSeek,2025Q1,0.03598595744575589,0.02
DeepSeek-V3.1,DeepSeek,2025Q3,-0.9901852192815419,0.02
DeepSeek-V3.2,DeepSeek,2025Q4,-0.40736185398596825,0.02
DeepSeek-V4,DeepSeek,2026Q2,-0.949802567120904,0.02
Mistral-7B,Mistral,2023Q3,1.1592608143982495,0.02
Mixtral-8x7B,Mistral,2023Q4,0.7912314865987431,0.02
Mixtral-8x22B,Mistral,2024Q2,0.731309175147542,0.02
Mistral-Large-2,Mistral,2024Q3,0.28344146781038476,0.02
Mistral-Small-2,Mistral,2024Q3,1.607145418383416,0.02
Mistral-Small-3,Mistral,2025Q1,1.240576195889172,0.02
Mistral-Small-3.1,Mistral,2025Q1,1.3139190900078463,0.02
Mistral-Medium-3,Mistral,2025Q2,1.7222645218667987,0.02
Mistral-Small-3.2,Mistral,2025Q2,-0.026642671073682567,0.02
Mistral-Large-3,Mistral,2025Q4,2.6091688280174066,0.02
Ministral-3,Mistral,2025Q4,2.954040673253057,0.02
Devstral-2,Mistral,2025Q4,2.060450203100622,0.02
Mistral-Small-4,Mistral,2026Q1,1.2091349846902952,0.02
Mistral-Medium-3.5,Mistral,2026Q2,-0.3748093125939351,0.02
Phi-1,Phi,2023Q2,1.121092328659195,0.02
Phi-1.5,Phi,2023Q3,-0.04521838734344752,0.02
Phi-2,Phi,2023Q4,0.2242731807107488,0.02
Phi-3,Phi,2024Q2,0.4929978539257918,0.02
Phi-3.5,Phi,2024Q3,0.4953336005189404,0.02
Phi-4,Phi,2024Q4,1.0686417849758594,0.02
Phi-4-reasoning-plus,Phi,2025Q2,-0.3100126922185136,0.02
Phi-4-reasoning-vision-15B,Phi,2026Q1,-0.2828684804169413,0.02
Gemma-1,Gemma,2024Q1,-0.03297398948290231,0.02
Gemma-2,Gemma,2024Q2,-0.13072454075664863,0.02
Gemma-3,Gemma,2025Q1,-0.6038321949439118,0.02
Gemma-3n,Gemma,2025Q2,-0.7468564998333107,0.02
Gemma-4,Gemma,2026Q2,0.1027469137180308,0.02
Gemma-4-12B,Gemma,2026Q2,-0.997307400541052,0.02
