full_name,family,era,short_name,hf_repo,params,access,release_date,leaked,in_chain
Llama-1,Llama,2023Q1,L1,meta-llama/Llama-1,7B,gated,,False,False
Llama-2,Llama,2023Q3,L2,meta-llama/Llama-2-70b-hf,70B,gated,,False,False
Llama-3,Llama,2024Q2,L3,meta-llama/Meta-Llama-3-70B-Instruct,70B,gated,,False,False
Llama-3.1,Llama,2024Q3,3.1,meta-llama/Meta-Llama-3.1-70B-Instruct,70B,gated,,False,False
Llama-3.2,Llama,2024Q3,3.2,meta-llama/Llama-3.2-90B-Vision-Instruct,90B,gated,,False,False
Llama-3.3,Llama,2024Q4,3.3,meta-llama/Llama-3.3-70B-Instruct,70B,gated,,False,False
Llama-4,Llama,2025Q2,L4,meta-llama/Llama-4-Maverick-17B-128E-Instruct,17B/128E,gated,,False,False
Qwen-7B,Qwen,2023Q3,7B,Qwen/Qwen-7B,7B,public,,False,False
Qwen1.5,Qwen,2024Q1,1.5,Qwen/Qwen1.5-72B-Chat,72B,public,,False,False
Qwen2,Qwen,2024Q2,2,Qwen/Qwen2-72B-Instruct,72B,public,,False,False
Qwen2.5,Qwen,2024Q3,2.5,Qwen/Qwen2.5-72B-Instruct,72B,public,,False,False
Qwen3,Qwen,2025Q2,3,Qwen/Qwen3-30B-A3B-Instruct,30B/3B,gated,,False,False
Qwen3.5,Qwen,2026Q1,3.5,Qwen/Qwen3.5-32B,32B,gated,,False,False
Qwen3.6,Qwen,2026Q2,3.6,Qwen/Qwen3.6-32B,32B,gated,,False,False
DeepSeek-V3,DeepSeek,2024Q4,V3,deepseek-ai/DeepSeek-V3,671B/37B,public,,False,False
DeepSeek-R1,DeepSeek,2025Q1,R1,deepseek-ai/DeepSeek-R1,671B/37B,public,,False,False
DeepSeek-V3.1,DeepSeek,2025Q3,V3.1,deepseek-ai/DeepSeek-V3.1,671B/37B,public,,False,False
DeepSeek-V3.2,DeepSeek,2025Q4,V3.2,deepseek-ai/DeepSeek-V3.2,685B/37B,public,,False,True
DeepSeek-V4,DeepSeek,2026Q2,V4,deepseek-ai/DeepSeek-V4,~700B,gated,,False,False
Mistral-7B,Mistral,2023Q3,7B,mistralai/Mistral-7B-Instruct-v0.3,7B,public,,False,False
Mixtral-8x7B,Mistral,2023Q4,Mixtral,mistralai/Mixtral-8x7B-Instruct-v0.1,46B/13B,public,,False,False
Mixtral-8x22B,Mistral,2024Q2,8x22B,mistralai/Mixtral-8x22B-Instruct-v0.1,141B/39B,public,,False,False
Mistral-Large-2,Mistral,2024Q3,L2,mistralai/Mistral-Large-2407,123B,gated,,False,False
Mistral-Small-2,Mistral,2024Q3,Small,mistralai/Mistral-Small-Instruct-2409,24B,public,,False,False
Mistral-Small-3,Mistral,2025Q1,S3,mistralai/Mistral-Small-3-24B-Instruct-2501,24B,gated,,False,False
Mistral-Small-3.1,Mistral,2025Q1,S3.1,mistralai/Mistral-Small-3.1-24B-Instruct-2503,24B,public,,False,False
Mistral-Medium-3,Mistral,2025Q2,M3,mistralai/Mistral-Medium-3.1-32B-Instruct-2503,32B,gated,,False,False
Mistral-Small-3.2,Mistral,2025Q2,S3.2,mistralai/Mistral-Small-3.2-24B-Instruct-2510,24B,gated,,False,False
Mistral-Large-3,Mistral,2025Q4,L3,mistralai/Mistral-Large-3,123B,public,,False,False
Ministral-3,Mistral,2025Q4,Min3,mistralai/Ministral-3B-Instruct,3B,gated,,False,False
Devstral-2,Mistral,2025Q4,Dev2,mistralai/Devstral-Small-2509,24B,gated,,False,False
Mistral-Small-4,Mistral,2026Q1,S4,mistralai/Mistral-Small-4-32B-Instruct-2603,32B,gated,2026-03-16,False,False
Mistral-Medium-3.5,Mistral,2026Q2,M3.5,mistralai/Mistral-Medium-3.5,32B,gated,2026-04-29,False,False
Phi-1,Phi,2023Q2,1,microsoft/phi-1,1.3B,public,2023-06-21,False,False
Phi-1.5,Phi,2023Q3,1.5,microsoft/phi-1_5,1.3B,public,,False,False
Phi-2,Phi,2023Q4,2,microsoft/phi-2,2.7B,public,,False,False
Phi-3,Phi,2024Q2,3,microsoft/Phi-3-medium-4k-instruct,14B,public,,False,False
Phi-3.5,Phi,2024Q3,3.5,microsoft/Phi-3.5-mini-instruct,3.8B,public,,False,False
Phi-4,Phi,2024Q4,4,microsoft/Phi-4-mini-instruct,3.8B,public,,True,False
Phi-4-reasoning-plus,Phi,2025Q2,4-r,microsoft/Phi-4-reasoning-plus,11B,public,,False,True
Phi-4-reasoning-vision-15B,Phi,2026Q1,4-r-v,microsoft/Phi-4-reasoning-vision-15B,15B,public,,False,True
Gemma-1,Gemma,2024Q1,1,google/gemma-7b,7B,gated,,False,False
Gemma-2,Gemma,2024Q2,2,google/gemma-2-9b,9B,gated,,False,False
Gemma-3,Gemma,2025Q1,3,google/gemma-3-27b-it,27B,gated,,False,False
Gemma-3n,Gemma,2025Q2,3n,google/gemma-3n-4b-it,4B,gated,,False,False
Gemma-4,Gemma,2026Q2,4,google/gemma-4,~12B,gated,2026-04-02,True,False
Gemma-4-12B,Gemma,2026Q2,4-12B,google/gemma-4-12b-it,12B,public,,False,False
