i,j,weight,stability
DeepSeek-V3.1,Llama-4,0.1490561305447371,0.97
DeepSeek-V3.2,Phi-4-reasoning-vision-15B,0.1216472307102164,0.848
DeepSeek-V4,Llama-3,0.11333841417276587,0.81
Devstral-2,Mistral-Small-3.2,0.10915416616916884,0.756
Mistral-Small-3,Qwen2,0.10727714118019487,0.694
Devstral-2,Phi-1.5,0.1133548333348551,0.676
Llama-2,Phi-4-reasoning-vision-15B,0.11084582471426094,0.656
Phi-3.5,Phi-4-reasoning-vision-15B,0.11542687327877406,0.624
Ministral-3,Phi-4,0.10944485860714956,0.618
Phi-1,Phi-1.5,0.10000727222577967,0.612
Phi-4,Qwen-7B,0.1044423618453495,0.612
Llama-3.1,Mixtral-8x22B,0.10165409866214553,0.606
DeepSeek-R1,Phi-3.5,0.0989438796328058,0.596
Mistral-Large-2,Mistral-Medium-3,0.09471292431553921,0.55
Gemma-4-12B,Phi-3.5,0.09766729982427996,0.548
Llama-4,Phi-3,0.09727134678431193,0.548
Gemma-2,Gemma-3,0.10345578818050608,0.544
Llama-1,Mistral-Small-3.1,0.09328589313023763,0.544
Llama-3.3,Mistral-Medium-3.5,0.10070910008777638,0.542
Mistral-Large-3,Phi-4-reasoning-plus,0.0940633502514387,0.538
Gemma-1,Mistral-7B,0.110870563998969,0.536
Mistral-Small-3.2,Qwen-7B,0.09650467448381464,0.532
DeepSeek-V3,Mistral-Large-2,0.09712941881008945,0.532
Phi-1.5,Qwen3.5,0.10294870741203559,0.526
Llama-1,Llama-3.2,0.09218128250124528,0.524
DeepSeek-R1,Llama-3.1,0.09766959089126293,0.524
Devstral-2,Gemma-2,0.10530210994755654,0.524
Gemma-1,Qwen2.5,0.09897363821196409,0.516
Gemma-1,Llama-3.2,0.11199750205834431,0.512
Gemma-1,Gemma-3n,0.09869960976118301,0.512
Gemma-4-12B,Phi-4,0.09773356443336878,0.498
Llama-3.3,Mistral-7B,0.10060322415699265,0.494
Gemma-3,Mixtral-8x7B,0.1023380075551097,0.494
Mistral-7B,Mistral-Small-2,0.09065842041430322,0.482
DeepSeek-V3.1,Gemma-4,0.10311217580316517,0.466
Mistral-Large-3,Qwen1.5,0.087536244457976,0.458
Phi-4-reasoning-plus,Phi-4-reasoning-vision-15B,0.0994947213361098,0.456
Mistral-Small-4,Phi-4-reasoning-vision-15B,0.08878062763831701,0.444
Gemma-3n,Phi-3,0.08603014410598905,0.444
DeepSeek-V3.1,Phi-4-reasoning-plus,0.10045986185588354,0.432
Llama-4,Phi-2,0.0985028578592071,0.43
Llama-2,Llama-3.3,0.0947120958359991,0.428
DeepSeek-V3.1,Gemma-1,0.10746582809314509,0.428
Gemma-4,Qwen3.5,0.09910296408872926,0.428
Gemma-1,Llama-3,0.10716494229991953,0.426
DeepSeek-V3.2,Gemma-2,0.09515055216936506,0.422
DeepSeek-V3.1,Qwen1.5,0.09899632616388855,0.42
Mistral-Large-3,Mixtral-8x7B,0.0877460137220907,0.418
Mixtral-8x7B,Qwen3.6,0.09005819352076859,0.416
Devstral-2,Qwen3,0.09418004522608786,0.414
Gemma-1,Phi-4-reasoning-vision-15B,0.10756749528227706,0.412
Gemma-3,Qwen3,0.09052579877749294,0.408
Devstral-2,Gemma-1,0.10196988660531214,0.408
Mistral-Large-2,Phi-4-reasoning-vision-15B,0.09955642644102432,0.394
Gemma-2,Gemma-3n,0.09166351236146363,0.392
Llama-2,Llama-4,0.09378952176400733,0.39
Llama-3.2,Phi-4-reasoning-vision-15B,0.10310748436842425,0.39
Mistral-Large-2,Phi-3.5,0.09952971875684977,0.388
Mistral-Small-3,Phi-2,0.09261838681824969,0.388
Ministral-3,Phi-4-reasoning-plus,0.09577187886119956,0.382
Gemma-3n,Qwen2,0.08799561340071273,0.378
Mistral-7B,Mistral-Small-4,0.08674592906065119,0.37
DeepSeek-V3.1,Ministral-3,0.10125160041471339,0.366
Ministral-3,Mistral-Medium-3.5,0.09284353606531594,0.364
Llama-3,Llama-3.2,0.10062768902669544,0.362
Llama-2,Mistral-Small-2,0.08242251058312892,0.362
Phi-2,Qwen3.6,0.08923530638296524,0.362
Gemma-1,Gemma-3,0.09840744043273451,0.352
Llama-3.1,Mistral-Medium-3.5,0.09203034535438538,0.35
DeepSeek-V3.1,Phi-1,0.08814195924584706,0.348
Llama-3.2,Mistral-Medium-3,0.08620429236339074,0.34
Phi-4-reasoning-plus,Qwen3.5,0.09029203576577924,0.338
Llama-3.1,Qwen1.5,0.0945840679299997,0.338
Gemma-3n,Qwen3.5,0.08832313524112737,0.336
Mistral-7B,Mistral-Medium-3,0.08871455633684766,0.334
Llama-3.1,Llama-3.3,0.09271272374920468,0.334
Gemma-2,Phi-4,0.09506097489688387,0.332
Llama-4,Phi-1.5,0.09688997838307387,0.332
Gemma-4-12B,Qwen3,0.08473822341415334,0.32
Phi-3.5,Phi-4,0.09474260950945045,0.318
Mixtral-8x22B,Phi-1,0.07963247265053426,0.312
Phi-4,Qwen1.5,0.0932279009321409,0.312
DeepSeek-V3,Llama-3.1,0.08361913916024583,0.31
Phi-3.5,Qwen1.5,0.09042589891277959,0.31
Mistral-Small-4,Phi-2,0.08337871322397966,0.31
Phi-4-reasoning-vision-15B,Qwen3.5,0.09215353266594065,0.308
Llama-3.3,Mistral-Small-3,0.08701679303672698,0.302
Llama-3.1,Qwen2,0.09072957183995073,0.302
Gemma-4,Gemma-4-12B,0.08501539149885451,0.3
DeepSeek-R1,Mistral-Small-2,0.0787062552385266,0.3
Gemma-2,Qwen3,0.08827393085928488,0.3
Mistral-Large-3,Mistral-Small-4,0.07931013441492174,0.298
Llama-2,Phi-1.5,0.09006505505643221,0.292
DeepSeek-V3.2,Llama-3.2,0.08941271201709738,0.29
DeepSeek-V3,Mistral-Small-3.1,0.08395974908161408,0.284
Mistral-7B,Mistral-Small-3.1,0.09182918914238115,0.282
DeepSeek-V3,Mistral-Medium-3.5,0.08164631331057998,0.28
Llama-2,Mistral-Small-3.1,0.08938777191912191,0.278
Phi-3,Phi-4-reasoning-vision-15B,0.08279986250431685,0.274
DeepSeek-R1,Qwen-7B,0.08044395487072618,0.27
Llama-3.2,Mistral-Small-3.1,0.09071247371591672,0.27
Mistral-Medium-3,Phi-4-reasoning-vision-15B,0.08234929564828966,0.27
Phi-4-reasoning-plus,Qwen2.5,0.08031052680148981,0.268
DeepSeek-R1,Gemma-4,0.0829435928931047,0.266
Phi-1.5,Qwen3,0.08604916742746993,0.264
Mixtral-8x7B,Qwen3.5,0.08913521209723806,0.262
Llama-3.1,Mistral-7B,0.09145206361140283,0.262
DeepSeek-V3.2,Mistral-Small-4,0.0771672229293864,0.258
DeepSeek-V3.1,Gemma-3n,0.08248054681140783,0.258
DeepSeek-V3,Mistral-Small-3,0.07778730613405885,0.258
DeepSeek-V3.2,Mistral-Small-2,0.07578070202624854,0.254
Llama-3.2,Phi-3,0.07861425303891745,0.254
Llama-3,Qwen2,0.08794369881296786,0.254
Llama-2,Llama-3.2,0.08744170571969358,0.252
Gemma-4,Llama-3.1,0.09050506927159734,0.248
Mistral-Medium-3.5,Mistral-Small-3.1,0.08599800764130057,0.246
Mixtral-8x22B,Phi-2,0.08106804073249546,0.246
Mixtral-8x22B,Phi-3.5,0.0823071013879554,0.244
Gemma-3,Mistral-Small-2,0.07609758905710892,0.242
Gemma-4,Llama-4,0.08703003101927073,0.24
DeepSeek-V3.1,Mixtral-8x7B,0.09034530063083654,0.234
Mixtral-8x7B,Qwen3,0.08139581894179977,0.234
Devstral-2,Ministral-3,0.08992515445753423,0.232
Phi-1.5,Phi-2,0.08751651712228349,0.23
Gemma-3,Mistral-Medium-3.5,0.08724290032919715,0.23
Mistral-Small-3.1,Mixtral-8x7B,0.08697735453809412,0.228
Ministral-3,Qwen-7B,0.08223002135894082,0.226
Mistral-Small-3.1,Phi-2,0.08524898030452065,0.224
DeepSeek-V3.2,Mixtral-8x22B,0.07923216691607161,0.224
Gemma-3,Llama-1,0.07490486534878758,0.222
Mistral-Medium-3,Phi-2,0.07360889112738245,0.222
Llama-3,Mistral-Small-3.2,0.08001662553332854,0.22
DeepSeek-R1,DeepSeek-V3,0.07311120320928702,0.218
Mistral-Small-3,Qwen2.5,0.07883168379405278,0.218
Llama-3,Mistral-Small-2,0.07626338120058494,0.218
Devstral-2,Phi-3,0.07616721416838587,0.216
Mistral-Large-2,Mistral-Small-3.2,0.08104392566252701,0.216
Gemma-4-12B,Llama-3,0.08054057452369914,0.212
Mixtral-8x7B,Phi-2,0.0838831186371293,0.212
DeepSeek-V4,Mistral-Small-3,0.07760959411258508,0.208
Phi-4-reasoning-plus,Qwen3,0.07974146184180286,0.208
