i,j,weight
DeepSeek-R1,Phi-3.5,0.0989438796328058
DeepSeek-R1,Llama-3.1,0.09766959089126293
DeepSeek-R1,Gemma-4,0.0829435928931047
DeepSeek-V3,Mistral-Large-2,0.09712941881008945
DeepSeek-V3,Mistral-Small-3.1,0.08395974908161408
DeepSeek-V3,Llama-3.1,0.08361913916024583
DeepSeek-V3.1,Llama-4,0.1490561305447371
DeepSeek-V3.1,Gemma-1,0.10746582809314509
DeepSeek-V3.1,Gemma-4,0.10311217580316517
DeepSeek-V3.2,Phi-4-reasoning-vision-15B,0.1216472307102164
DeepSeek-V3.2,Gemma-2,0.09515055216936506
DeepSeek-V3.2,Llama-3.2,0.08941271201709738
DeepSeek-V4,Llama-3,0.11333841417276587
DeepSeek-V4,Mistral-Small-3,0.07760959411258508
DeepSeek-V4,Qwen3.5,0.07548603656210776
Devstral-2,Phi-1.5,0.1133548333348551
Devstral-2,Mistral-Small-3.2,0.10915416616916884
Devstral-2,Gemma-2,0.10530210994755654
Gemma-1,Llama-3.2,0.11199750205834431
Gemma-1,Mistral-7B,0.110870563998969
Gemma-2,Gemma-3,0.10345578818050608
Gemma-3,Mixtral-8x7B,0.1023380075551097
Gemma-3,Gemma-1,0.09840744043273451
Gemma-3n,Gemma-1,0.09869960976118301
Gemma-3n,Gemma-2,0.09166351236146363
Gemma-3n,Qwen3.5,0.08832313524112737
Gemma-4,Qwen3.5,0.09910296408872926
Gemma-4-12B,Phi-4,0.09773356443336878
Gemma-4-12B,Phi-3.5,0.09766729982427996
Gemma-4-12B,Gemma-4,0.08501539149885451
Llama-1,Mistral-Small-3.1,0.09328589313023763
Llama-1,Llama-3.2,0.09218128250124528
Llama-1,Gemma-3,0.07490486534878758
Llama-2,Phi-4-reasoning-vision-15B,0.11084582471426094
Llama-2,Llama-3.3,0.0947120958359991
Llama-2,Llama-4,0.09378952176400733
Llama-3,Gemma-1,0.10716494229991953
Llama-3,Llama-3.2,0.10062768902669544
Llama-3.1,Mixtral-8x22B,0.10165409866214553
Llama-3.2,Phi-4-reasoning-vision-15B,0.10310748436842425
Llama-3.3,Mistral-Medium-3.5,0.10070910008777638
Llama-3.3,Mistral-7B,0.10060322415699265
Llama-4,Phi-2,0.0985028578592071
Ministral-3,Phi-4,0.10944485860714956
Ministral-3,DeepSeek-V3.1,0.10125160041471339
Ministral-3,Phi-4-reasoning-plus,0.09577187886119956
Mistral-7B,Mistral-Small-3.1,0.09182918914238115
Mistral-Large-2,Phi-4-reasoning-vision-15B,0.09955642644102432
Mistral-Large-2,Phi-3.5,0.09952971875684977
Mistral-Large-3,Phi-4-reasoning-plus,0.0940633502514387
Mistral-Large-3,Mixtral-8x7B,0.0877460137220907
Mistral-Large-3,Qwen1.5,0.087536244457976
Mistral-Medium-3,Mistral-Large-2,0.09471292431553921
Mistral-Medium-3,Mistral-7B,0.08871455633684766
Mistral-Medium-3,Llama-3.2,0.08620429236339074
Mistral-Medium-3.5,Ministral-3,0.09284353606531594
Mistral-Medium-3.5,Llama-3.1,0.09203034535438538
Mistral-Small-2,Mistral-7B,0.09065842041430322
Mistral-Small-2,Llama-2,0.08242251058312892
Mistral-Small-2,DeepSeek-R1,0.0787062552385266
Mistral-Small-3,Qwen2,0.10727714118019487
Mistral-Small-3,Phi-2,0.09261838681824969
Mistral-Small-3.1,Llama-3.2,0.09071247371591672
Mistral-Small-3.2,Qwen-7B,0.09650467448381464
Mistral-Small-3.2,Mistral-Large-2,0.08104392566252701
Mistral-Small-4,Phi-4-reasoning-vision-15B,0.08878062763831701
Mistral-Small-4,Mistral-7B,0.08674592906065119
Mistral-Small-4,Phi-2,0.08337871322397966
Mixtral-8x22B,Phi-3.5,0.0823071013879554
Mixtral-8x22B,Phi-2,0.08106804073249546
Mixtral-8x7B,DeepSeek-V3.1,0.09034530063083654
Phi-1,Phi-1.5,0.10000727222577967
Phi-1,DeepSeek-V3.1,0.08814195924584706
Phi-1,Mixtral-8x22B,0.07963247265053426
Phi-1.5,Qwen3.5,0.10294870741203559
Phi-2,Qwen3.6,0.08923530638296524
Phi-3,Llama-4,0.09727134678431193
Phi-3,Gemma-3n,0.08603014410598905
Phi-3,Phi-4-reasoning-vision-15B,0.08279986250431685
Phi-3.5,Phi-4-reasoning-vision-15B,0.11542687327877406
Phi-4,Qwen-7B,0.1044423618453495
Phi-4-reasoning-plus,DeepSeek-V3.1,0.10045986185588354
Phi-4-reasoning-vision-15B,Gemma-1,0.10756749528227706
Qwen-7B,Ministral-3,0.08223002135894082
Qwen1.5,DeepSeek-V3.1,0.09899632616388855
Qwen1.5,Llama-3.1,0.0945840679299997
Qwen2,Llama-3.1,0.09072957183995073
Qwen2,Gemma-3n,0.08799561340071273
Qwen2.5,Gemma-1,0.09897363821196409
Qwen2.5,Phi-4-reasoning-plus,0.08031052680148981
Qwen2.5,Mistral-Small-3,0.07883168379405278
Qwen3,Devstral-2,0.09418004522608786
Qwen3,Gemma-3,0.09052579877749294
Qwen3,Gemma-2,0.08827393085928488
Qwen3.5,Phi-4-reasoning-vision-15B,0.09215353266594065
Qwen3.6,Mixtral-8x7B,0.09005819352076859
Qwen3.6,Llama-3,0.07735480883030482
