i,j,family_i,family_j,era_i,era_j,within_family,between_family,within_era,across_era,phi_primary,jaccard,overlap,cosine,phi,yule_q,cohen_kappa,ci_lo,ci_hi
DeepSeek-R1,DeepSeek-V3,DeepSeek,DeepSeek,2025Q1,2024Q4,1,0,0,1,0.07311120320928702,0.3174010455563854,0.48405466970387245,0.48186436584389797,0.07311120320928702,0.14719922900697896,0.073108797150773,0.031938518932946185,0.11702401034333118
DeepSeek-R1,DeepSeek-V3.1,DeepSeek,DeepSeek,2025Q1,2025Q3,1,0,0,1,0.048174534560589316,0.31445170660856936,0.49316628701594534,0.4786661123155644,0.048174534560589316,0.09699601882012306,0.048103063010737045,0.008603883666738208,0.08808519638163795
DeepSeek-R1,DeepSeek-V3.2,DeepSeek,DeepSeek,2025Q1,2025Q4,1,0,0,1,0.04797800444454332,0.3004484304932735,0.46635730858468677,0.4620885019747036,0.04797800444454332,0.09722852124580485,0.047971650711376726,0.005725520131032334,0.08937063569215062
DeepSeek-R1,DeepSeek-V4,DeepSeek,DeepSeek,2025Q1,2026Q2,1,0,0,1,0.0587647670425797,0.29555895865237364,0.4742014742014742,0.45659152308620327,0.0587647670425797,0.11977594783262968,0.058638627740691916,0.015985242204103824,0.10284722594481849
DeepSeek-R1,Devstral-2,DeepSeek,Mistral,2025Q1,2025Q4,0,1,0,1,0.03367969134857396,0.29874908020603386,0.4624145785876993,0.46006263838341493,0.03367969134857396,0.06816232212412626,0.03367828889064631,-0.010049528885324685,0.07848353883580954
DeepSeek-R1,Gemma-1,DeepSeek,Gemma,2025Q1,2024Q1,0,1,0,1,0.03295071933432988,0.3543563068920676,0.6207289293849658,0.5298533943595739,0.03295071933432988,0.06787963610916725,0.031228963619867,-0.009295571884593765,0.08078781429370711
DeepSeek-R1,Gemma-2,DeepSeek,Gemma,2025Q1,2024Q2,0,1,0,1,0.03668171881644107,0.26403162055335966,0.463245492371706,0.4197895047585275,0.03668171881644107,0.07666802626212123,0.03619397036322333,-0.0065430352830296,0.07941910398183774
DeepSeek-R1,Gemma-3,DeepSeek,Gemma,2025Q1,2025Q1,0,1,1,0,0.0466352534925791,0.3144927536231884,0.49430523917995445,0.47874532624093885,0.0466352534925791,0.09389228567711722,0.046555505386054324,0.0030458356405471307,0.08859344421052512
DeepSeek-R1,Gemma-3n,DeepSeek,Gemma,2025Q1,2025Q2,0,1,0,1,0.051755854350369605,0.2981132075471698,0.4691211401425178,0.45940296299692956,0.051755854350369605,0.10512179654567837,0.05172097348489483,0.005503956880683197,0.0960680864700017
DeepSeek-R1,Gemma-4,DeepSeek,Gemma,2025Q1,2026Q2,0,1,0,1,0.0829435928931047,0.3481953290870488,0.5603644646924829,0.5181227035730436,0.0829435928931047,0.16614511198956622,0.08202381355813948,0.03816478873230288,0.1278195639142028
