full_name,family,era,trait,trait_se,kim_acc,delta
Llama-2,Llama,2023Q3,-0.8602427893974021,0.02,0.690571143711722,-1.550813933109124
Llama-3,Llama,2024Q2,-0.9291238884504848,0.02,0.7867112946873664,-1.7158351831378513
Llama-3.1,Llama,2024Q3,-1.2129206318869488,0.02,0.8090727816550349,-2.021993413541984
Llama-3.2,Llama,2024Q3,-0.751943395398013,0.02,0.8108531548212505,-1.5627965502192636
Llama-3.3,Llama,2024Q4,-0.0745376070783636,0.02,0.5332446808510638,-0.6077822879294275
Qwen1.5,Qwen,2024Q1,-0.4713355695859988,0.02,0.7740350377439111,-1.24537060732991
Qwen2,Qwen,2024Q2,0.2299357325333655,0.02,0.8274462327303803,-0.5975105001970148
Qwen2.5,Qwen,2024Q3,-0.8865542386128509,0.02,0.5625831117021277,-1.4491373503149787
Mistral-7B,Mistral,2023Q3,1.1592608143982497,0.02,0.5892323030907278,0.5700285113075219
Mixtral-8x7B,Mistral,2023Q4,0.7912314865987431,0.02,0.7069505768409059,0.0842809097578372
Mixtral-8x22B,Mistral,2024Q2,0.731309175147542,0.02,0.7733941034040734,-0.04208492825653143
Mistral-Large-2,Mistral,2024Q3,0.2834414678103847,0.02,0.806580259222333,-0.5231387914119483
Mistral-Small-2,Mistral,2024Q3,1.607145418383416,0.02,0.409906914893617,1.197238503489799
Phi-2,Phi,2023Q4,0.2242731807107488,0.02,0.5656601623700328,-0.341386981659284
Phi-3,Phi,2024Q2,0.4929978539257918,0.02,0.7737501780373166,-0.2807523241115248
Phi-3.5,Phi,2024Q3,0.4953336005189404,0.02,0.3961934840425531,0.09914011647638726
Gemma-1,Gemma,2024Q1,-0.0329739894829023,0.02,0.651759008688221,-0.6847329981711233
Gemma-2,Gemma,2024Q2,-0.1307245407566486,0.02,0.7042444096282581,-0.8349689503849067
