,DeepSeek-R1,DeepSeek-V3,DeepSeek-V3.1,DeepSeek-V3.2,DeepSeek-V4,Devstral-2,Gemma-1,Gemma-2,Gemma-3,Gemma-3n,Gemma-4,Gemma-4-12B,Llama-1,Llama-2,Llama-3,Llama-3.1,Llama-3.2,Llama-3.3,Llama-4,Ministral-3,Mistral-7B,Mistral-Large-2,Mistral-Large-3,Mistral-Medium-3,Mistral-Medium-3.5,Mistral-Small-2,Mistral-Small-3,Mistral-Small-3.1,Mistral-Small-3.2,Mistral-Small-4,Mixtral-8x22B,Mixtral-8x7B,Phi-1,Phi-1.5,Phi-2,Phi-3,Phi-3.5,Phi-4,Phi-4-reasoning-plus,Phi-4-reasoning-vision-15B,Qwen-7B,Qwen1.5,Qwen2,Qwen2.5,Qwen3,Qwen3.5,Qwen3.6
DeepSeek-R1,1.0,0.07311120320928702,0.048174534560589316,0.04797800444454332,0.0587647670425797,0.03367969134857396,0.03295071933432988,0.03668171881644107,0.0466352534925791,0.051755854350369605,0.0829435928931047,0.04826530328489524,0.04010446208217036,0.05961888546522791,0.02959398300885902,0.09766959089126293,0.011574642021089794,0.04834908689624388,0.04307798441812751,0.01134964416603377,0.04192192577817135,0.04496525553467305,0.06411061733708052,0.008221164107763938,0.07568741495938533,0.0787062552385266,0.015001195441492313,0.07413198427503012,0.04464736977389968,0.06012429219639873,0.04118860555551593,0.050622243570400294,0.022995751540403026,0.046162953125759604,0.03654237340485921,0.06522035471563511,0.0989438796328058,0.03997237573468245,0.07046619375851934,0.04990843269335563,0.08044395487072618,0.04591705916041966,0.06300633438355366,0.044096910672752,0.03395974609182253,0.050900817188699085,0.07009753775126457
DeepSeek-V3,0.07311120320928702,1.0,0.040606098655004606,0.006370078253719229,0.07047728810330604,0.05887647659390088,0.07031193269681867,0.05994985128172072,0.05921060514692332,0.05095607631209305,0.06250814606079765,0.04573044309266701,0.04971583201165302,0.060148087990302544,0.05933300553788189,0.08361913916024583,0.0282732225345138,0.026908708201329082,0.059433639639673706,0.06412192939559197,0.03613437078822116,0.09712941881008945,0.04957278147268472,0.03323835047883385,0.08164631331057998,0.03679558484769346,0.07778730613405885,0.08395974908161408,0.034709682183544935,0.0355128646870406,0.009911609574423165,0.05055769874966517,0.06545930374510465,0.05801546440296948,0.03750544191086796,0.03893854646198446,0.06433235106858783,0.03654590022665918,0.021801219905286783,0.03128967578428366,0.05675944396308507,0.052592749318661466,0.055699000218658735,0.06527061303543763,0.026472664430294487,0.03704873312428949,0.06213743721138173
DeepSeek-V3.1,0.048174534560589316,0.040606098655004606,1.0,0.0026473989555581313,0.060546247043809766,0.03966124580685778,0.10746582809314509,0.03969236698893934,0.0779880305427947,0.08248054681140783,0.10311217580316517,0.04253404217243904,0.01103128699319336,0.05426196911131393,0.03823723654921552,0.055981650751530145,0.06957129919238175,0.07420083492098122,0.1490561305447371,0.10125160041471339,0.03274952997659843,0.0877207431138883,0.05594737894975584,0.0639160515846781,0.05118650585751232,0.031654127317126426,0.0633463933564674,0.08263746057149873,0.07306127175873918,0.01919269452198132,0.06610420630026079,0.09034530063083654,0.08814195924584706,0.07475676791724792,0.0329620085061966,0.05253053468809788,0.06449849790568661,0.07542601568165405,0.10045986185588354,0.05079279240636534,0.04600676453887549,0.09899632616388855,0.0724270795528023,0.03610458377495312,0.04801737394971701,0.0566538384836773,0.05878780641283973
DeepSeek-V3.2,0.04797800444454332,0.006370078253719229,0.0026473989555581313,1.0,0.029113734838409573,0.04614015921356806,0.05084602029010382,0.09515055216936506,0.027486798977298294,0.026785508307103873,0.05729487216213655,0.07395703737981221,0.05982743875305298,0.03939333056849729,0.08120181572251521,0.05922916846816486,0.08941271201709738,0.034491550285282606,0.048665148259790014,0.028841294820139002,0.03432388101199687,0.058878096997147605,0.026216694721907737,0.033215355567163374,0.04355474338500671,0.07578070202624854,0.06690257784657352,0.07866785825466723,0.06890069062948838,0.0771672229293864,0.07923216691607161,0.05278110205636233,0.03233210640766335,0.07087064247682981,0.04275664475224755,0.049300575550789996,0.055252280584621526,0.05299650143843557,0.05092911090994943,0.1216472307102164,0.07734140739947944,0.0674256815148562,0.037067595261130064,0.040387768268570365,0.04088540579708517,0.05243120775172453,0.06992285805788782
DeepSeek-V4,0.0587647670425797,0.07047728810330604,0.060546247043809766,0.029113734838409573,1.0,0.03685711690750204,0.06148600049839015,0.058403844544258156,0.044971348517762515,0.04804330384821909,0.07536411892663486,0.06058163706649833,0.04521244915219798,0.057630014072160056,0.11333841417276587,0.06294534998132463,0.07445878563776204,0.06217495837502848,0.037160836784531616,0.07153353282717016,0.04363917041734575,0.059927363346571255,0.044529566915718764,0.06059568275671915,0.029704363328868107,0.042557817642449224,0.07760959411258508,0.047749588728596734,0.06000423299625833,0.03316931198349968,0.02858767581442949,0.0675509134578308,0.03582267686040267,0.04405827982377763,0.07396453644754407,0.03777586663863344,0.07365106954746782,0.03889245788173004,0.038645825904319586,0.03348863170030384,0.04356531012512294,0.020993489294254927,0.0588157979589906,0.06005799558832019,0.04969005497611731,0.07548603656210776,0.07357842262800593
Devstral-2,0.03367969134857396,0.05887647659390088,0.03966124580685778,0.04614015921356806,0.03685711690750204,1.0,0.10196988660531214,0.10530210994755654,0.03808955133046128,0.04805351207485863,0.04938520168468889,0.06953837555023105,0.06523775002271058,0.040303314605220825,0.08043920699095028,0.030277273661665775,0.05759931091483976,0.038153242521697814,0.07859625649908634,0.08992515445753423,0.08223748043827918,0.07588222967397835,0.009105266512670431,0.011641973250108831,0.02426845178358695,0.03181469725228679,0.02846124768122963,0.020508853185460373,0.10915416616916884,0.046545076970322,0.03166506008218743,0.05155632131363381,0.04618288077321944,0.1133548333348551,0.06095125204940316,0.07616721416838587,0.07939614348277721,0.061884146829271874,0.036870920493824386,0.0403034270906088,0.0477456560000507,0.04728875025951174,0.0709794700661246,0.047833990867529756,0.09418004522608786,0.0461459607810542,0.05107730178084277
Gemma-1,0.03295071933432988,0.07031193269681867,0.10746582809314509,0.05084602029010382,0.06148600049839015,0.10196988660531214,1.0,0.05659666239652491,0.09840744043273451,0.09869960976118301,0.03931397951712592,0.04625453172689702,0.04018364071463421,0.06402901858462991,0.10716494229991953,0.0730466995923756,0.11199750205834431,0.03530057730059356,0.09116585275312872,0.07233881057295444,0.110870563998969,0.045272004112956385,0.04659805584290481,0.07636792900382515,0.0202245392050459,0.03535635209096522,0.08140928156376627,0.07326685746743607,0.06358001016848987,0.036380339518244986,0.0804144456202432,0.04555764364110623,0.06437999638019884,0.04627987588548878,0.03625441736845884,0.07128521316826122,0.06954638342599982,0.06026332690998215,0.039294228285199864,0.10756749528227706,0.07356104917085886,0.08235595366000947,0.0775927223649313,0.09897363821196409,0.05101674211842597,0.08136761962334339,0.07470112897355202
Gemma-2,0.03668171881644107,0.05994985128172072,0.03969236698893934,0.09515055216936506,0.058403844544258156,0.10530210994755654,0.05659666239652491,1.0,0.10345578818050608,0.09166351236146363,0.08285196592744569,0.02446910980596001,0.0551016286784155,0.05823295342476983,0.07275488842174872,0.03880321783447092,0.05581795437867869,0.05404426065437029,0.048176375788880996,0.08116049902032335,0.07193109776183991,0.06404124614137431,0.02834961093522894,0.04399894984156729,0.060688919262589645,0.02983310415243731,0.076379673030353,0.07276377848620781,0.03099966964792807,0.04777985486299556,0.055556900973432195,0.06410360671626905,0.02160079979170879,0.03168315153195431,0.052133301939140946,0.0631840616394484,0.06719140179545037,0.09506097489688387,0.07702443571509483,0.061304057272050676,0.02351792066872366,0.0549767320767894,0.07822653769701178,0.0406265718949761,0.08827393085928488,0.08094443905981036,0.0264764356149469
Gemma-3,0.0466352534925791,0.05921060514692332,0.0779880305427947,0.027486798977298294,0.044971348517762515,0.03808955133046128,0.09840744043273451,0.10345578818050608,1.0,0.044537591384378385,0.030802354435254586,0.07807900929331016,0.07490486534878758,0.047138345796883245,0.08416386515130735,0.06605694979797733,0.027644346514433163,0.046394980612458885,0.0729541699365492,0.030574740996023506,0.07014382191763747,0.03761071940470045,0.057047535890437,0.07531928367563291,0.08724290032919715,0.07609758905710892,0.05748045692758438,0.04444489763665882,0.055290205607773396,0.05110275026325223,0.07710657747149273,0.1023380075551097,0.06440141408797692,0.050589067864674514,0.04758615299444751,0.046480123904327306,0.0402818237061635,0.06051175521064293,0.07423813743151414,0.05658737968515221,0.01615297359836427,0.03713058537957414,0.07887682521447532,0.04969239213682612,0.09052579877749294,0.048765296627829774,0.016757699988714004
Gemma-3n,0.051755854350369605,0.05095607631209305,0.08248054681140783,0.026785508307103873,0.04804330384821909,0.04805351207485863,0.09869960976118301,0.09166351236146363,0.044537591384378385,1.0,0.04788471238937358,0.03292466728903684,0.03161943675776212,0.030558313542681386,0.05019986001338696,0.06919299902097592,0.05780611389560312,0.07516435369428064,0.05013000562567003,0.047736097180391984,0.03175079081456759,0.07023026311465855,0.060606473749525554,0.025879889678239707,0.04978334763053506,0.04219281998478742,0.06422670554739889,0.06109875918786289,0.03998622607477526,0.058057945214095845,0.02998285714523899,0.04893070979549604,0.051288421822819195,0.051291666889621924,0.05874434328411307,0.08603014410598905,0.06016203538301945,0.03806326689264423,0.0679437934385011,0.05210073869279401,0.021161850026015307,0.0445521343104844,0.08799561340071273,0.05364664087391171,0.05163393895663157,0.08832313524112737,0.01705762796434243
