family,quarter,short_name,full_name,hf_repo,trait,trait_se,n_items,n_correct,source,era
Llama,2023Q1,L1,Llama-1,meta-llama/Llama-1,0.5895,0.011002518016406547,2000,1179,fresh,2023Q1
Llama,2023Q3,L2,Llama-2,meta-llama/Llama-2-70b-hf,0.6595,0.010598869893602373,2000,1319,fresh,2023Q3
Llama,2024Q2,L3,Llama-3,meta-llama/Meta-Llama-3-70B-Instruct,0.47,0.011162988226862755,2000,940,fresh,2024Q2
Llama,2024Q3,3.1,Llama-3.1,meta-llama/Meta-Llama-3.1-70B-Instruct,0.5085,0.011181519941139353,2000,1017,fresh,2024Q3
Llama,2024Q3,3.2,Llama-3.2,meta-llama/Llama-3.2-90B-Vision-Instruct,0.535,0.011155703691943023,2000,1070,fresh,2024Q3
Llama,2024Q4,3.3,Llama-3.3,meta-llama/Llama-3.3-70B-Instruct,0.5545,0.011116504096687314,2000,1109,fresh,2024Q4
Llama,2025Q2,L4,Llama-4,meta-llama/Llama-4-Maverick-17B-128E-Instruct,0.5175,0.011176284251254187,2000,1035,fresh,2025Q2
Qwen,2023Q3,7B,Qwen-7B,Qwen/Qwen-7B,0.5385,0.011149934327957222,2000,1077,fresh,2023Q3
Qwen,2024Q1,1.5,Qwen1.5,Qwen/Qwen1.5-72B-Chat,0.4105,0.011002518016406547,2000,821,fresh,2024Q1
Qwen,2024Q2,2,Qwen2,Qwen/Qwen2-72B-Instruct,0.5525,0.011121318125943039,2000,1105,fresh,2024Q2
Qwen,2024Q3,2.5,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,0.429,0.011069813475627879,2000,858,fresh,2024Q3
Qwen,2025Q2,3,Qwen3,Qwen/Qwen3-30B-A3B-Instruct,0.5385,0.011149934327957222,2000,1077,fresh,2025Q2
Qwen,2026Q1,3.5,Qwen3.5,Qwen/Qwen3.5-32B,0.5185,0.01117547854278868,2000,1037,fresh,2026Q1
Qwen,2026Q2,3.6,Qwen3.6,Qwen/Qwen3.6-32B,0.51,0.011180899170152933,2000,1020,fresh,2026Q2
DeepSeek,2024Q4,V3,DeepSeek-V3,deepseek-ai/DeepSeek-V3,0.557,0.011110230358066598,2000,1114,fresh,2024Q4
DeepSeek,2025Q1,R1,DeepSeek-R1,deepseek-ai/DeepSeek-R1,0.561,0.011099599116647194,2000,1122,fresh,2025Q1
DeepSeek,2025Q3,V3.1,DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,0.534,0.011157250652426006,2000,1068,fresh,2025Q3
DeepSeek,2025Q4,V3.2,DeepSeek-V3.2,deepseek-ai/DeepSeek-V3.2,0.569,0.011076138335187499,2000,1138,fresh,2025Q4
DeepSeek,2026Q2,V4,DeepSeek-V4,deepseek-ai/DeepSeek-V4,0.593,0.0109879874378326,2000,1186,fresh,2026Q2
Mistral,2023Q3,7B,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,0.6625,0.010576048477607332,2000,1325,fresh,2023Q3
Mistral,2023Q4,Mixtral,Mixtral-8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,0.499,0.0111831136547702,2000,998,fresh,2023Q4
Mistral,2024Q2,8x22B,Mixtral-8x22B,mistralai/Mixtral-8x22B-Instruct-v0.1,0.598,0.010966226746904893,2000,1196,fresh,2024Q2
Mistral,2024Q3,L2,Mistral-Large-2,mistralai/Mistral-Large-2407,0.5775,0.011047981894987699,2000,1155,fresh,2024Q3
Mistral,2024Q3,Small,Mistral-Small-2,mistralai/Mistral-Small-Instruct-2409,0.533,0.011158752568250614,2000,1066,fresh,2024Q3
Mistral,2025Q1,S3,Mistral-Small-3,mistralai/Mistral-Small-3-24B-Instruct-2501,0.521,0.011173268141438307,2000,1042,fresh,2025Q1
Mistral,2025Q1,S3.1,Mistral-Small-3.1,mistralai/Mistral-Small-3.1-24B-Instruct-2503,0.4895,0.01118066986764857,2000,979,fresh,2025Q1
Mistral,2025Q2,M3,Mistral-Medium-3,mistralai/Mistral-Medium-3.1-32B-Instruct-2503,0.6275,0.0108134333201849,2000,1255,fresh,2025Q2
Mistral,2025Q2,S3.2,Mistral-Small-3.2,mistralai/Mistral-Small-3.2-24B-Instruct-2510,0.674,0.010484128885092914,2000,1348,fresh,2025Q2
Mistral,2025Q4,L3,Mistral-Large-3,mistralai/Mistral-Large-3,0.634,0.010774044738166351,2000,1268,fresh,2025Q4
Mistral,2025Q4,Min3,Ministral-3,mistralai/Ministral-3B-Instruct,0.594,0.010983729838291741,2000,1188,fresh,2025Q4
Mistral,2025Q4,Dev2,Devstral-2,mistralai/Devstral-Small-2509,0.5565,0.01111150789964629,2000,1113,fresh,2025Q4
Mistral,2026Q1,S4,Mistral-Small-4,mistralai/Mistral-Small-4-32B-Instruct-2603,0.477,0.011171297997523597,2000,954,fresh,2026Q1
Mistral,2026Q2,M3.5,Mistral-Medium-3.5,mistralai/Mistral-Medium-3.5,0.4995,0.011183130429495203,2000,999,fresh,2026Q2
Phi,2023Q2,1,Phi-1,microsoft/phi-1,0.5925,0.01099009854974315,2000,1185,fresh,2023Q2
Phi,2023Q3,1.5,Phi-1.5,microsoft/phi-1_5,0.4885,0.01118017769029604,2000,977,fresh,2023Q3
Phi,2023Q4,2,Phi-2,microsoft/phi-2,0.5615,0.011098218786369057,2000,1123,fresh,2023Q4
Phi,2024Q2,3,Phi-3,microsoft/Phi-3-medium-4k-instruct,0.497,0.011182934722804532,2000,994,fresh,2024Q2
Phi,2024Q3,3.5,Phi-3.5,microsoft/Phi-3.5-mini-instruct,0.483,0.011176670299310512,2000,966,fresh,2024Q3
Phi,2024Q4,4,Phi-4,microsoft/Phi-4-mini-instruct,0.4175,0.011029855114729563,2000,835,fresh,2024Q4
Phi,2025Q2,4-r,Phi-4-reasoning-plus,microsoft/Phi-4-reasoning-plus,0.484,0.01117740878887485,2000,968,fresh,2025Q2
Phi,2026Q1,4-r-v,Phi-4-reasoning-vision-15B,microsoft/Phi-4-reasoning-vision-15B,0.4735,0.011167418260963794,2000,947,fresh,2026Q1
Gemma,2024Q1,1,Gemma-1,google/gemma-7b,0.3975,0.010945628277499406,2000,795,fresh,2024Q1
Gemma,2024Q2,2,Gemma-2,google/gemma-2-9b,0.6395,0.010739066010104634,2000,1279,fresh,2024Q2
Gemma,2025Q1,3,Gemma-3,google/gemma-3-27b-it,0.532,0.011160209457602882,2000,1064,fresh,2025Q1
Gemma,2025Q2,3n,Gemma-3n,google/gemma-3n-4b-it,0.579,0.01104266590253991,2000,1158,fresh,2025Q2
Gemma,2026Q2,4,Gemma-4,google/gemma-4,0.4865,0.011179059024816898,2000,973,fresh,2026Q2
Gemma,2026Q2,4-12B,Gemma-4-12B,google/gemma-4-12b-it,0.5985,0.01096398556592195,2000,1197,fresh,2026Q2
